site,visit1,visit2,visit3,Native,PatchSize,temp1,temp2,temp3,wind1,wind2,wind3,Obs1,Obs2,Obs3
24,0,0,0,-1.047,1.459,-2.404,-0.976,0.524,-0.458,-1.542,-1.434,Fred,Tina,Fred
25,0,0,0,-1.156,1.224,-2.619,-0.547,0.524,1.866,1.883,0.923,Bill,Bill,Jim
26,0,0,0,-0.283,1.435,-2.761,-0.619,0.881,-0.264,0.568,-0.264,Fred,Fred,Fred
27,1,0,1,0.772,1.668,-1.19,0.453,2.596,0.427,0.702,0.482,Tina,Tina,Jim
28,1,1,1,1.135,1.723,-0.619,0.524,2.31,-0.42,-0.264,-0.108,Jim,Fred,Bill
29,1,1,1,0.299,1.629,-1.047,0.453,2.096,0.952,1.409,1.237,Bill,Bill,Tina
30,0,0,0,0.19,1.825,-2.19,-0.619,0.31,0.904,0.913,1.054,Jim,Tina,Bill
31,0,0,0,-1.083,1.649,-2.904,-0.976,1.453,-1.697,-1.753,-1.585,Fred,Tina,Jim
32,0,0,0,-1.156,1.705,-1.761,-0.547,-0.404,-1.067,-1.543,-1.437,Tina,Tina,Jim
33,0,0,0,0.626,1.723,-1.333,-0.261,1.31,-0.837,-0.472,-0.639,Bill,Bill,Bill
34,0,0,0,0.117,1.435,-2.119,-0.119,0.596,0.568,0.152,0.152,Jim,Jim,Tina
35,0,0,0,0.517,1.411,-0.761,-0.19,0.596,0.223,-0.63,-0.203,Tina,Tina,Jim
36,1,1,NA,-0.72,1.668,1.096,2.881,NA,0.977,0.042,NA,Fred,Fred,NA
37,1,1,1,0.99,1.629,0.453,1.381,2.167,0.952,1.123,1.18,Fred,Fred,Jim
38,1,1,1,1.717,1.281,-2.119,-0.261,1.596,0.395,-0.01,0.152,Jim,Jim,Tina
39,0,0,NA,-1.265,1.548,1.596,2.096,NA,0.338,0.586,NA,Tina,Jim,NA
40,0,0,0,-1.083,1.841,-2.19,-1.261,1.096,-0.727,-1.097,-1.004,Bill,Fred,Fred
41,1,1,1,0.844,1.281,-0.476,1.31,1.953,-0.819,-0.738,-0.981,Tina,Tina,Jim
42,0,0,0,2.299,1.194,-1.833,-0.761,0.596,0.24,0.24,0.682,Tina,Jim,Jim
43,0,0,0,-0.065,1.386,-2.333,-0.619,1.453,-0.139,-0.139,0.298,Jim,Bill,Fred
44,0,0,0,0.663,2.152,-1.833,-0.833,0.596,-1.508,-1.644,-1.474,Bill,Fred,Jim
45,1,1,1,-0.647,1.932,0.096,0.667,1.596,-0.101,-0.228,-0.101,Jim,Fred,Tina
46,0,0,0,-0.683,1.775,-1.833,-1.047,0.596,-0.539,-0.688,-0.737,Tina,Tina,Fred
47,1,1,1,0.917,1.459,-1.904,-0.261,2.596,0.897,0.491,0.491,Fred,Fred,Fred
48,0,0,0,-1.193,1.808,-1.833,-0.119,2.167,-0.374,-0.469,-0.66,Bill,Tina,Fred
49,1,1,1,0.626,1.74,-1.976,-0.404,1.596,-0.308,-0.308,-0.308,Bill,Bill,Fred
50,0,0,0,0.844,1.932,-2.119,-0.619,0.524,-1.199,-0.904,-1.157,Jim,Jim,Bill
51,1,1,1,0.553,1.775,-2.19,-0.547,1.524,-0.984,-0.589,-0.836,Tina,Tina,Jim
52,0,0,NA,-0.829,1.504,-0.547,0.81,NA,-0.042,-0.237,NA,Fred,Jim,NA
53,0,0,0,-0.21,1.308,-2.619,-0.833,0.596,0.073,0.546,0.231,Fred,Jim,Bill
54,0,0,0,-0.683,1.589,-1.69,-1.19,-0.547,-1.097,-1.216,-1.037,Bill,Jim,Fred
55,0,0,0,1.754,1.163,-2.333,-0.261,0.524,0.334,0.425,0.789,Tina,Bill,Fred
56,0,0,0,1.608,1.386,-2.404,-1.333,0.381,0.662,0.735,0.516,Tina,Tina,Bill
57,1,1,1,0.59,1.74,-0.476,1.096,1.667,-0.206,0.101,-0.001,Tina,Bill,Fred
58,0,0,0,-0.974,1.808,-2.69,-0.761,0.381,-1.568,-1.52,-1.615,Bill,Tina,Fred
59,0,0,1,0.372,1.435,-2.904,-1.047,0.096,0.568,0.568,0.568,Jim,Jim,Jim
60,0,0,0,-1.083,1.841,-2.404,-1.261,0.453,-1.097,-1.051,-1.189,Jim,Jim,Tina
61,0,0,0,1.063,1.569,-1.976,-0.976,-0.476,-0.394,-0.394,-0.212,Jim,Jim,Fred
62,0,0,0,-0.756,2.241,-2.404,0.096,1.667,-1.212,-1.274,-1.491,Bill,Tina,Jim
63,0,0,NA,-1.265,0.642,2.667,3.239,NA,0.919,0.459,NA,Bill,Fred,NA
64,0,0,0,-1.265,1.629,-2.261,-0.619,0.167,-0.019,-0.362,-0.819,Fred,Bill,Bill
65,0,0,0,-0.174,1.668,-2.333,-0.261,0.667,-0.123,0.207,0.702,Jim,Jim,Tina
66,1,1,0,-0.647,1.932,-2.404,-0.976,1.024,-0.735,-0.228,-0.228,Fred,Jim,Fred
67,0,0,0,1.099,1.526,-2.404,-0.619,-0.19,-0.672,-0.672,-0.672,Tina,Jim,Tina
68,0,0,0,-0.174,1.872,-2.547,-1.19,0.596,-0.476,-0.61,-0.52,Jim,Fred,Tina
69,0,0,0,-1.265,1.435,-1.833,-0.261,0.667,0.429,0.984,0.984,Bill,Fred,Bill
70,0,0,NA,-1.083,1.629,1.596,2.667,NA,0.666,0.666,NA,Tina,Bill,NA
71,0,0,NA,-1.265,1.411,2.453,3.024,NA,-0.417,-0.985,NA,Fred,Bill,NA
72,0,0,1,1.135,1.758,-1.904,-0.976,0.81,-0.803,-0.903,-0.903,Fred,Fred,Tina
73,0,0,0,-0.974,1.686,-1.976,-0.476,1.31,-0.172,-0.172,0.152,Jim,Bill,Bill
74,0,0,0,1.463,2.128,-2.047,-0.547,0.596,-0.785,-0.889,-1.097,Bill,Tina,Tina
75,0,0,0,1.208,1.96,-2.261,-0.261,1.524,-0.792,-0.669,-0.546,Fred,Tina,Fred
76,1,1,1,1.354,1.386,0.739,1.739,2.881,-0.795,-1.014,-0.722,Bill,Tina,Jim
77,1,1,1,2.19,1.668,-1.833,-0.904,0.167,0.647,0.592,0.207,Tina,Tina,Tina
78,1,1,1,0.808,1.74,-0.261,1.596,2.596,-0.308,0.305,-0.104,Tina,Tina,Tina
79,0,0,0,1.063,1.386,-2.19,0.453,1.453,0.298,0.298,0.006,Jim,Bill,Tina
80,1,1,1,0.335,1.504,-1.833,-0.761,-0.119,1.382,0.605,0.346,Jim,Fred,Tina
81,1,0,0,0.335,1.569,-2.904,-1.19,-0.476,-0.394,-0.212,-0.394,Fred,Fred,Jim
82,0,0,0,-0.029,1.96,-2.69,-1.261,0.31,-0.669,-0.546,-0.423,Jim,Fred,Bill
83,0,0,0,-0.501,1.686,-2.404,-0.761,0.524,0.476,0.476,0.638,Bill,Bill,Bill
84,0,0,0,-0.429,1.569,-1.833,-0.833,0.453,-0.941,-0.941,-0.941,Tina,Fred,Jim
85,0,NA,NA,-1.229,2.186,0.453,NA,NA,-0.601,NA,NA,Tina,NA,NA
86,1,1,1,0.299,1.609,-1.904,-0.833,0.596,0.735,0.56,0.035,Jim,Bill,Tina
87,1,1,1,-0.174,1.411,0.524,1.31,1.667,1.076,0.863,1.076,Bill,Bill,Jim
88,0,0,0,-0.32,1.569,-2.404,-0.976,0.596,-0.212,0.334,-0.03,Bill,Jim,Bill
89,0,NA,NA,-1.011,1.723,-2.904,NA,NA,-1.513,NA,NA,Tina,NA,NA
90,0,0,0,1.899,1.841,-2.761,-1.404,0.024,-0.958,-1.143,-0.264,Bill,Tina,Fred
91,0,0,0,0.517,1.569,-2.333,-0.547,1.381,0.516,0.759,0.82,Bill,Tina,Bill
92,0,0,0,0.153,2.028,-2.19,-0.547,1.096,-0.692,-0.615,-0.615,Tina,Bill,Tina
93,1,1,1,2.117,1.686,-2.404,-1.19,-0.261,-0.172,0.368,-0.064,Jim,Tina,Tina
94,0,0,0,0.481,1.548,-0.19,1.167,1.667,0.09,0.214,0.214,Tina,Fred,Fred
95,0,0,0,-0.865,1.194,-2.261,-1.69,0.381,-0.731,-0.466,-0.554,Jim,Bill,Fred
96,1,0,1,1.39,1.825,-2.261,-0.833,0.167,0.481,0.199,0.622,Bill,Fred,Fred
97,0,0,0,-0.829,1.775,-1.904,-0.904,1.096,-1.428,-1.132,-1.28,Fred,Fred,Jim
98,1,1,1,0.262,1.723,-0.261,1.096,1.739,-0.004,0.256,0.672,Fred,Jim,Fred
99,0,0,0,-0.32,1.589,-0.976,-0.476,0.739,-0.443,-0.264,0.271,Bill,Bill,Tina
100,0,0,0,-0.792,1.163,-2.19,-1.19,0.524,-0.394,0.061,-0.394,Fred,Fred,Bill
101,0,0,0,-1.193,1.504,-2.404,-0.904,-0.119,-0.366,-1.143,-1.273,Fred,Tina,Fred
102,0,0,NA,-0.72,1.482,1.31,3.239,NA,-0.312,-0.047,NA,Tina,Tina,NA
103,1,1,1,0.699,1.758,-0.761,1.381,3.167,0.152,0.152,-0.2,Bill,Jim,Bill
104,1,1,1,1.426,1.705,-0.261,0.381,1.596,0.417,0.735,-0.007,Bill,Tina,Bill
105,1,1,1,0.372,1.459,-0.404,0.453,1.524,0.558,0.965,0.558,Bill,Tina,Jim
106,0,0,0,0.954,1.775,-2.333,-0.833,0.667,-0.194,-0.293,-0.144,Bill,Fred,Jim
107,0,0,0,-0.065,1.705,-2.547,-1.619,0.524,-0.431,-0.166,-0.219,Tina,Tina,Tina
108,0,0,0,0.699,1.253,-1.976,-0.547,0.596,-0.348,0.035,-0.098,Jim,Bill,Tina
109,1,1,1,1.245,1.253,-0.833,0.524,1.667,0.984,0.984,0.984,Tina,Jim,Tina
110,0,0,0,0.444,1.946,-1.619,-1.119,1.596,-1.014,-1.055,-1.014,Jim,Bill,Bill
111,0,0,0,-1.083,1.872,-1.19,-0.976,0.096,-1.148,-1.058,-1.148,Bill,Bill,Tina
112,0,0,0,0.044,2.041,-2.333,-0.261,1.096,-0.605,-0.264,-0.491,Jim,Fred,Jim
113,1,1,1,0.917,1.569,1.239,1.596,1.953,0.88,1.245,1.245,Fred,Tina,Tina
114,0,1,1,1.354,1.194,-1.976,-0.19,0.524,-0.554,-0.025,0.24,Jim,Tina,Jim
115,0,0,0,-0.21,1.526,-2.333,-0.547,1.453,-0.355,-0.482,-0.608,Fred,Fred,Bill
116,0,0,0,-1.011,1.723,-1.976,-0.547,0.596,-0.524,-0.472,-0.837,Bill,Fred,Jim
117,0,0,0,-1.011,1.459,-2.333,-0.904,0.667,0.355,0.694,1.033,Bill,Fred,Bill
118,0,0,0,-0.792,1.459,-2.333,-0.976,0.667,-0.729,-0.729,-0.322,Fred,Jim,Tina
119,0,0,0,-1.193,2.116,-2.333,-1.047,0.596,-1.393,-1.498,-1.217,Bill,Tina,Jim
120,1,1,1,-0.683,1.686,-0.333,2.667,2.739,-0.01,-0.01,0.152,Fred,Jim,Bill
121,0,0,0,0.99,1.386,-2.333,-0.833,0.596,0.006,0.443,0.37,Jim,Jim,Tina
122,0,0,0,-0.938,1.96,-1.833,-0.261,0.667,-0.997,-0.505,-0.423,Fred,Bill,Jim
123,0,0,0,0.081,2.001,-2.333,-0.404,0.667,-1.108,-0.872,-0.99,Jim,Fred,Bill
124,0,0,0,1.317,1.74,-2.547,-0.547,0.167,-0.513,-0.666,-0.615,Fred,Bill,Fred
125,1,1,1,0.226,1.569,2.167,3.096,3.524,1.973,1.791,1.609,Tina,Fred,Tina
126,1,0,NA,-0.574,1.099,1.881,3.024,NA,3.066,3.066,NA,Fred,Fred,NA
127,0,0,0,-0.392,1.902,-2.547,-1.19,0.881,-0.413,-0.283,0.108,Bill,Fred,Fred
128,0,0,0,-0.902,1.872,-2.69,-0.547,-0.261,-0.834,-0.655,-0.852,Bill,Tina,Bill
129,0,0,0,-1.265,1.808,-1.976,0.31,0.81,-1.377,-1.377,-1.424,Fred,Fred,Bill
130,0,0,0,1.281,1.825,-2.69,-0.833,0.881,-0.647,0.058,0.246,Tina,Jim,Jim
131,1,1,1,0.372,1.775,1.096,1.596,2.096,-0.984,-0.539,-0.539,Tina,Fred,Tina
132,0,0,0,-0.611,1.435,-2.761,-1.333,1.381,-0.681,-1.027,-0.819,Bill,Bill,Fred
133,0,0,0,-0.538,1.872,-2.761,-1.047,0.524,-1.148,-1.148,-1.148,Tina,Bill,Tina
134,0,0,0,-1.156,1.609,-2.404,-0.904,1.096,-1.014,-0.664,-0.664,Bill,Jim,Bill
135,0,0,0,-0.538,1.808,-1.976,-0.619,1.31,0.104,0.104,0.582,Jim,Fred,Fred
136,0,0,0,0.044,1.459,-2.261,-1.19,0.524,1.168,1.507,1.101,Fred,Fred,Tina
137,0,0,0,-0.574,1.686,-2.547,-0.547,0.739,-1.122,-0.334,-0.161,Jim,Tina,Tina
138,1,0,0,0.008,1.281,0.596,1.524,1.667,0.557,0.314,0.88,Tina,Jim,Fred
139,0,0,0,1.899,1.946,-2.69,-0.19,0.81,-1.097,-0.889,-0.847,Fred,Jim,Fred
140,1,1,1,0.59,1.758,-0.904,-0.476,0.524,-0.652,-0.652,-0.652,Fred,Jim,Jim
141,0,0,0,-0.501,1.435,-1.119,-0.119,1.524,0.568,0.984,2.649,Fred,Tina,Tina
142,0,0,0,-0.865,1.808,-2.404,-0.19,2.024,-0.469,-0.182,-0.182,Fred,Fred,Tina
143,0,0,0,-0.21,1.548,-2.333,-0.619,0.881,-1.088,-0.716,-0.902,Jim,Fred,Tina
144,0,0,0,0.735,1.589,-2.833,-0.976,0.739,-0.086,-0.026,0.509,Fred,Jim,Bill
145,0,1,NA,-0.101,1.932,0.739,2.167,NA,-0.735,-0.482,NA,Tina,Tina,NA
146,1,0,1,-0.101,1.504,-1.047,-0.476,1.096,-0.042,-0.042,0.152,Bill,Tina,Fred
147,0,0,0,-1.156,1.649,-1.976,-0.547,0.596,-1.249,-1.417,-1.361,Bill,Jim,Tina
148,0,0,NA,0.844,1.609,-0.761,0.096,NA,-0.373,-0.314,NA,Tina,Tina,NA
149,0,1,1,0.044,1.482,1.167,2.167,3.167,1.013,1.145,1.278,Jim,Jim,Tina
150,0,0,0,1.863,1.609,-0.19,1.31,2.167,-0.081,-0.373,-0.442,Fred,Jim,Bill
151,0,1,1,1.463,1.526,-2.69,-0.547,1.453,0.342,0.215,0.659,Fred,Tina,Bill
152,1,0,0,-0.429,1.758,-1.904,-0.619,0.596,-0.451,-0.551,-0.551,Bill,Jim,Fred
153,0,0,NA,-1.265,1.335,0.739,2.453,NA,1.225,1.225,NA,Fred,Tina,NA
154,0,0,0,1.317,1.932,-2.547,-0.261,2.167,-0.862,-0.862,-1.115,Fred,Jim,Fred
155,0,0,0,1.245,1.902,-2.333,-1.047,0.667,-1.196,-0.935,-1.153,Fred,Jim,Fred
156,0,0,0,-1.047,1.526,-1.833,-0.476,0.667,-0.482,-0.101,-0.101,Bill,Bill,Tina
157,0,0,0,1.172,1.589,-1.761,-1.119,-0.261,0.806,0.806,0.806,Jim,Fred,Fred
158,0,0,0,1.172,1.589,-1.761,-1.119,-0.261,0.806,0.806,0.806,Fred,Tina,Tina
159,0,0,0,0.262,1.609,-2.404,-0.833,1.596,0.735,0.851,1.201,Fred,Fred,Bill
160,0,0,0,1.354,1.705,-2.404,-0.833,1.167,-0.06,-0.06,0.099,Jim,Jim,Bill
161,0,0,0,1.608,1.308,-0.547,1.239,1.739,0.467,0.073,-0.084,Tina,Fred,Tina
162,0,0,0,0.444,1.988,-2.761,-1.761,-0.119,-1.485,-1.245,-1.325,Jim,Jim,Fred
163,1,0,0,-0.32,1.411,0.953,2.381,3.81,1.502,1.502,1.076,Fred,Bill,Jim
164,0,0,0,0.772,1.589,-2.333,-0.404,0.596,-0.264,-0.264,-0.383,Bill,Jim,Fred
165,1,0,NA,-0.611,1.482,-0.404,1.596,NA,0.615,0.615,NA,Bill,Fred,NA
166,1,1,1,-0.065,1.065,0.096,1.596,3.381,3.066,3.267,2.965,Bill,Jim,Jim
167,0,0,0,-0.501,1.194,-0.476,0.596,1.739,-0.113,-0.378,-0.554,Jim,Bill,Fred
168,1,1,1,0.153,1.386,-0.547,-0.261,0.596,2.119,1.609,1.609,Fred,Bill,Jim
169,0,0,0,1.245,1.705,-1.69,-0.619,0.381,0.099,0.099,0.258,Bill,Jim,Jim
170,0,0,0,0.262,1.792,-2.333,0.167,1.31,0.152,0.298,0.103,Fred,Jim,Tina
171,0,0,0,2.299,1.758,-1.619,-0.261,0.596,-0.35,-0.652,-0.602,Bill,Tina,Fred
172,1,1,1,0.626,1.253,-2.119,-0.547,0.453,0.318,0.318,0.735,Bill,Tina,Bill
173,0,1,0,2.008,1.482,-2.19,-0.619,-0.261,-0.51,0.086,-0.179,Jim,Fred,Fred
174,1,0,1,0.553,1.411,-2.261,-0.476,1.453,0.436,0.01,0.436,Bill,Jim,Tina
175,0,0,0,0.699,1.589,-2.69,-1.69,-0.619,-0.086,-0.264,-0.443,Tina,Fred,Tina
176,0,0,0,-0.938,1.629,-1.619,-1.047,-0.833,-0.362,-0.362,-0.362,Jim,Bill,Tina
177,1,1,1,0.59,1.609,-1.904,0.096,1.881,0.502,0.385,0.385,Tina,Fred,Bill
178,1,0,0,0.008,1.649,-2.904,-0.261,0.453,0.768,0.6,1.105,Jim,Bill,Fred
179,0,0,0,0.808,1.335,0.524,2.167,2.596,2.759,1.379,1.839,Jim,Tina,Fred
180,0,0,0,-0.611,1.758,-2.333,-1.047,-0.547,-0.451,-0.2,-0.099,Bill,Fred,Bill
181,1,1,NA,-0.829,1.526,1.596,3.024,NA,1.102,0.912,NA,Tina,Tina,NA
182,0,0,0,-0.029,1.224,-0.619,0.667,2.096,0.066,-0.019,-0.448,Fred,Jim,Tina
183,0,0,0,1.208,1.411,-1.047,-0.261,0.453,1.289,1.289,1.502,Tina,Tina,Jim
184,0,0,0,1.026,1.548,-0.976,1.381,2.596,0.028,-0.902,-0.282,Bill,Tina,Jim
185,1,0,0,0.481,1.504,-1.833,-0.619,0.096,0.994,1.123,1.123,Bill,Fred,Fred
186,0,1,1,-0.065,1.253,-0.476,0.524,3.381,1.734,1.234,1.234,Bill,Fred,Bill
187,1,1,0,2.008,1.609,-2.904,-1.047,0.096,0.443,0.268,0.56,Tina,Jim,Jim
188,0,0,0,-0.065,1.792,-2.904,-1.619,-0.404,-0.139,0.152,-0.431,Fred,Fred,Tina
189,0,0,0,0.081,1.386,-1.833,-0.404,0.667,0.735,0.735,0.516,Fred,Fred,Fred
190,0,0,0,-0.974,1.224,-1.833,-0.261,1.953,-0.448,0.323,-0.448,Tina,Fred,Bill
191,1,1,1,0.044,1.548,-0.047,1.667,2.953,0.4,1.268,1.144,Fred,Tina,Jim
192,1,1,1,1.135,1.526,-0.69,0.881,1.739,0.659,0.532,0.279,Jim,Bill,Jim
193,0,0,0,0.772,1.411,-1.619,-1.047,-0.476,1.147,0.507,1.289,Fred,Bill,Fred
194,0,0,0,-1.265,1.775,-2.19,-1.19,0.81,-0.194,-0.095,0.053,Fred,Tina,Bill
195,0,0,0,0.226,1.609,-2.904,-0.547,0.596,0.21,0.385,0.735,Fred,Bill,Jim
196,0,0,0,1.026,2.208,-2.119,0.024,1.739,-0.745,-0.488,-0.328,Fred,Bill,Bill
197,0,0,NA,-1.265,1.705,1.739,2.31,NA,-0.272,-0.855,NA,Tina,Jim,NA
198,0,1,0,0.008,1.548,-1.833,0.096,1.596,-0.344,-0.282,-0.282,Jim,Tina,Tina
199,0,0,0,-0.756,2.015,-1.833,-0.19,0.667,-0.897,-1.208,-0.936,Fred,Jim,Bill
200,0,0,0,-1.229,1.974,-2.19,-0.904,0.524,-0.819,-1.305,-1.062,Tina,Fred,Fred
201,1,1,0,-0.283,1.361,-1.119,-0.119,1.31,1.422,1.497,1.557,Fred,Tina,Jim
202,0,0,NA,-1.265,1.887,0.667,1.667,NA,-0.643,-0.908,NA,Tina,Fred,NA
203,1,0,NA,-1.047,1.411,0.667,1.881,NA,2.355,2.355,NA,Jim,Jim,NA
204,0,1,NA,-1.265,1.335,0.667,1.596,NA,1.379,0.919,NA,Jim,Bill,NA
205,0,0,NA,-1.229,1.361,0.596,1.096,NA,-0.072,-0.072,NA,Tina,Tina,NA
206,1,1,1,0.844,1.435,-1.976,-0.904,0.381,1.193,1.262,1.331,Fred,Jim,Jim
207,1,0,NA,-0.938,1.482,1.596,2.596,NA,1.609,1.344,NA,Tina,Tina,NA
208,1,1,NA,-0.756,1.526,1.667,2.239,NA,-0.291,0.025,NA,Tina,Bill,NA
209,1,1,NA,-1.193,1.459,2.381,2.881,NA,1.982,2.185,NA,Fred,Bill,NA
210,1,1,1,-0.174,1.917,0.667,1.453,2.453,0.323,0.323,0.323,Fred,Tina,Tina
211,1,1,1,2.117,2.14,-0.19,0.596,1.31,-1.356,-1.048,-1.528,Fred,Bill,Tina
212,1,1,1,1.717,1.872,0.453,1.31,1.453,0.107,-0.117,0.017,Bill,Fred,Jim
213,1,1,1,1.681,1.825,0.381,0.524,1.381,-0.036,0.058,0.105,Bill,Fred,Fred
214,1,1,1,1.717,1.526,0.096,1.024,2.024,1.039,1.039,1.039,Fred,Jim,Jim
215,0,0,NA,-1.265,1.668,1.453,2.453,NA,0.493,0.427,NA,Bill,Fred,NA
216,1,1,1,1.245,1.548,-0.261,0.881,1.596,1.28,0.908,0.747,Fred,Tina,Tina
217,1,1,1,0.663,1.775,0.81,1.453,2.953,0.201,0.201,0.498,Bill,Bill,Tina
218,0,0,NA,-1.265,1.281,2.096,3.239,NA,2.094,2.094,NA,Jim,Bill,NA
219,0,0,NA,-1.265,1.411,0.453,2.881,NA,-0.203,-0.203,NA,Tina,Tina,NA
220,0,0,NA,-1.265,1.459,1.596,2.167,NA,1.71,1.71,NA,Tina,Tina,NA
221,0,0,NA,-1.265,2.23,0.167,2.096,NA,-0.506,-0.882,NA,Jim,Tina,NA
222,0,0,NA,-1.265,0.693,2.381,3.453,NA,0.152,0.006,NA,Jim,Bill,NA
223,0,0,NA,-1.265,1.649,2.31,2.524,NA,1.329,1.161,NA,Bill,Jim,NA
224,0,0,NA,-1.265,1.775,2.096,3.096,NA,0.251,0.547,NA,Fred,Tina,NA
225,0,0,NA,-1.265,1.649,0.596,1.453,NA,-0.913,-0.577,NA,Tina,Jim,NA
226,0,0,NA,-1.265,1.589,1.81,2.167,NA,0.092,0.092,NA,Fred,Bill,NA
227,0,0,NA,-1.229,1.253,1.524,1.739,NA,0.735,-0.348,NA,Tina,Jim,NA
228,0,0,NA,-1.265,1.74,2.381,3.239,NA,-1.228,-0.615,NA,Tina,Jim,NA
229,0,0,NA,-1.265,0.336,1.381,1.81,NA,5.355,5.98,NA,Jim,Jim,NA
230,0,0,NA,-0.72,1.224,2.239,2.667,NA,0.066,0.323,NA,Tina,Fred,NA
231,0,0,NA,-1.265,0.182,2.096,2.667,NA,5.494,5.494,NA,Bill,Bill,NA
232,0,0,NA,-1.265,1.482,1.167,2.167,NA,-0.378,0.615,NA,Jim,Jim,NA
233,0,0,NA,-1.193,1.668,0.667,1.596,NA,-0.618,-0.453,NA,Tina,Jim,NA
234,0,0,NA,-1.265,1.649,1.167,3.167,NA,0.264,0.264,NA,Fred,Bill,NA
235,0,0,NA,-1.265,1.435,0.667,2.667,NA,-0.126,0.152,NA,Tina,Tina,NA
236,0,0,NA,-1.265,0.993,1.739,2.81,NA,3.713,3.713,NA,Fred,Fred,NA
237,0,0,NA,-1.265,1.065,1.81,3.31,NA,1.056,2.262,NA,Fred,Fred,NA
