"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","Site"
"126","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_33_01_2022"
"127","0","0","0","0","0","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_39_01_2022"
"128","1","1","0","0","1","0","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_55_01_2022"
"129","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_13_2023"
"130","0","0","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_15_2023"
"131","1","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_16_2023"
"132","0","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_18_2023"
"133","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_19_2023"
"134","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_2_2023"
"135","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_35_2023"
"136","0","0","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_36_2023"
"137","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_3_2023"
"138","0","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_43_2023"
"139","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_44_2023"
"140","1","0","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_45_2023"
"141","1","1","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_46_2023"
"142","0","0","1","1","1","1","0","1",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_54_2023"
"143","1","0","1","1","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_55_2023"
"144","1","0","1","0","0","0","1","1","0",NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_5_2023"
"145","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_10_2019"
"146","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_11_2019"
"147","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_1_2019"
"148","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_4_2019"
"149","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_5_2019"
"150","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Sun_Valley_6_2019"
"151","0","1","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_03_JM1_01_2022"
"152","1","1","0","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_03_JM1_02_2022"
"153","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_04_JM3_01_2022"
"154","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_04_JM3_02_2022"
"155","1","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_05_JM11_01_2022"
"156","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_05_JM11_02_2022"
"157","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_07_LC_WT_2022"
"158","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_09_JM6_01_2022"
"159","1","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_10_JM4_01_2022"
"160","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_10_R7_01_2022"
"161","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_12b_LC_HR_2022"
"162","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_13_R5_02_2022"
"163","0","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14_H5_01_2022"
"164","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14_H5_02_2022"
"165","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14b_H3_01_2022"
"166","0","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_14b_H3_02_2022"
"167","0","0","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_15_JM7_01_2022"
"168","1","0","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_15_JM7_02_2022"
"169","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_16_JM10_01_2022"
"170","0","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_16_JM10_02_2022"
"171","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_19_JM5_01_2022"
"172","1","1","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_20_R8_01_2022"
"173","1","1","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_20_R8_02_2022"
"174","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_21_R3_01_2022"
"175","1","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_21_R3_02_2022"
"176","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_22_R4_01_2022"
"177","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_22_R4_02_2022"
"178","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_22b_R6_01_2022"
"179","1","1","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_23_R1_01_2022"
"180","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_23b_R2_01_2022"
"181","1","0","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_23b_R2_02_2022"
"182","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_24_JM8_01_2022"
"183","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_24_JM8_02_2022"
"184","0","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_27_H2_01_2022"
"185","1","1","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_27_H2_02_2022"
"186","1","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_27b_H1_01_2022"
"187","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_28_H5_01_2022"
"188","0","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_29_JM2_01_2022"
"189","1","1","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_29_JM2_02_2022"
"190","1","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_31_JM15_01_2022"
"191","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_31_JM15_02_2022"
"192","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_32_JM13_02_2022"
"193","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_32_JM13_2022"
"194","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_33_JM9_01_2022"
"195","1","1","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_Hebblewhite_22_33_JM9_02_2022"
"196","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_02_2021"
"197","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_04_2021"
"198","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_08_2021"
"199","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_21_dep_09_2021"
"200","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam01_2022"
"201","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam02_2022"
"202","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam03_2022"
"203","1","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam04_2022"
"204","1","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam05_2022"
"205","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam06_2022"
"206","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam08_2022"
"207","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam09_2022"
"208","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_22_Cam10_2022"
"209","1","1","1","1","1","1","1","1","1","0","1","0",NA,NA,"MT_Forest_RiverTrail_Cam01_2023"
"210","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_Cam02_2023"
"211","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"MT_Forest_RiverTrail_Cam04_2023"
"212","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT_Forest_RiverTrail_Cam08_2023"
"213","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"MT_Forest_RiverTrail_Cam09_2023"
