project_id,deployment_id,placename,longitude,latitude,start_date,end_date,survey_days,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,habitat_type,landuse_type,subproject_design,event_name,event_description,event_type,recorded_by
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc13_20220919,GA_Anthropogenic_Weigel_22_loc_13,-84.4031,33.7783,9/19/2022,9/23/2022,4,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Forest_JonesCenter_Loc_06 10/03/2022,GA_Forest_JonesCenter_Loc_06,-84.4172,31.2093,10/3/2022,10/7/2022,4,None, ,Road dirt, ,2026539,6,1,Camera Functioning,Knee height, ,Parallel, , , , ,JonesCenter,Forest,Rural, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc11_20221027,GA_Anthropogenic_Weigel_22_loc_11,-84.3996,33.7792,10/27/2022,10/31/2022,4,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc14_20221027,GA_Anthropogenic_Weigel_22_loc_14,-84.3925,33.7745,10/27/2022,10/31/2022,4,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc9_20221027,GA_Anthropogenic_Weigel_22_loc_9,-84.3604,33.7851,10/27/2022,10/31/2022,4,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Pointed Downward, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,ME_Forest_PenobscotForest_Preserve A 08/31-09/05,Forest Preserve,-68.6639,44.8967,8/31/2022,9/5/2022,5,None, ,None, ,2062406,Forest Preserve Cam1,1,Camera Functioning,Knee height, ,Parallel, , , , ,PenobscotForest,Forest,Wild, , , , , 
Snapshot USA 2022,FL_Forest_Ordway_ORD1,ORD1,-82.0054,29.6908,9/1/2022,9/6/2022,5,None, ,None,"Cameras split between on and off road locations, road used by Ordway staff and researchers for restoration, maintenance, and research",2062410,Moultrie A Series,5,Camera Functioning,Knee height, ,Parallel, , , , ,Melrose,Forest,Wild,"Cameras spaced ~1km apart, approximately equally divided between on and off road locations, set to target bobcat, coyote, and black bear", , , ,Matt Hallett
Snapshot USA 2022,OK_Forest_Lonsinger_dep5,OK_Forest_Lonsinger_loc5,-98.7248,34.7968,9/9/2022,9/14/2022,5,None, ,None, ,2028441,Bushnell Trophy Cam,10,Memory Card,Knee height, ,Parallel, , , , ,Lonsinger,Forest,Wild, , , , , 
Snapshot USA 2022,SD_Grassland_OakLakeFS_22_14,SD_Grassland_OakLakeFS_22_14,-96.5395,44.5163,9/24/2022,9/29/2022,5,None, ,None, ,2028441,Bushnell Trophy Cam,0,Unknown Failure,Knee height, ,Parallel, , , , ,OakLakeFS,Grassland,Rural, , , , , 
Snapshot USA 2022,TX_Grassland_YoakumDunes_22_PT 09/28/2022,TX_Grassland_YoakumDunes_22_PT,-102.6523,33.4025,9/28/2022,10/3/2022,5,None, ,Water source, ,2064040,Pig_Trap,0,Camera Functioning,Knee height, ,Parallel, , , , ,YoakumDunes,Grassland,Wild, , , , , 
Snapshot USA 2022,VA_Forest_Art_Clifton92 09/29/2022,Clifton92,-77.8094,38.7796,9/29/2022,10/4/2022,5,None, ,None, ,2054226,Clifton9,0,Camera Functioning,Knee height, ,Parallel, , , , ,Art,Forest,Rural, , , , , 
Snapshot USA 2022,KY_Forest_KentuckyNaturalLandsTrust_Calloway_28_loc_10 09/30/2022,KY_Forest_KentuckyNaturalLandsTrust_Calloway_28_loc_10,-83.5396,36.8076,9/30/2022,10/5/2022,5,None, ,None, ,2067113,lmumoultree04,5,Wildlife Damage,Knee height, ,Pointed Downward, , , , ,KentuckyNaturalLandsTrust,Forest,Wild, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam05 09/30/2022,TX_Grassland_GeneHowe_22_cam05,-100.2775,35.9125,9/30/2022,10/5/2022,5,None, ,Water source, ,2045032,5,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc15_20221020,GA_Anthropogenic_Weigel_22_loc_15,-84.3974,33.7761,10/20/2022,10/25/2022,5,None, ,Other,In a green space next to a building,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc4_20221026,GA_Anthropogenic_Weigel_22_loc_4,-84.3579,33.8079,10/26/2022,10/31/2022,5,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,FL_Forest_Alto_ALC47,ALC47,-82.1266,29.7750,9/1/2022,9/7/2022,6,None, ,Road dirt,"Cameras split between on and off road locations, road used by Alachua County staff for restoration/maintenance only",2055086,0,1,Unknown Failure,Knee height, ,Parallel, , , , ,Alto,Forest,Rural,"Cameras spaced ~1km apart, approximately equally divided between on and off road locations, set to target bobcat, coyote, and black bear", , , , 
Snapshot USA 2022,TX_Grassland_Matador_22_Seep_pond 09/06/2022,TX_Grassland_Matador_22_Seep_pond,-100.3993,34.1136,9/6/2022,9/12/2022,6,None, ,Trail game,game trail,2021663,Bushnell,0,Camera Functioning,Knee height, ,Parallel, , , , ,Matador,Grassland,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc13_20220913,GA_Anthropogenic_Weigel_22_loc_13,-84.4031,33.7783,9/13/2022,9/19/2022,6,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,MA_Forest_WT_22_10A,MA_Forest_WT_22_10,-70.6605,41.4012,9/14/2022,9/20/2022,6,None, ,Trail game, ,2027921,Browning,1,Camera Hardware Failure,Knee height, ,Parallel, , , , ,WT,Forest,Rural, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc13_20220923,GA_Anthropogenic_Weigel_22_loc_13,-84.4031,33.7783,9/23/2022,9/29/2022,6,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,WY_Grassland_UoW_C1_D2,WY_Grassland_UoW_22.01,-105.7405,42.1522,9/25/2022,10/1/2022,6,None, ,Burrow, ,2026488,1,0,Camera Functioning,Knee height, ,Parallel, , , , ,UoW,Grassland,Wild, , , , , 
Snapshot USA 2022,WY_Grassland_UoW_C13_D2,WY_Grassland_UoW_22.13,-105.7443,42.1392,9/25/2022,10/1/2022,6,None, ,None, ,2029600,13,0,Camera Functioning,Knee height, ,Parallel, , , , ,UoW,Grassland,Wild, , , , , 
Snapshot USA 2022,WY_Grassland_UoW_C2_D2,WY_Grassland_UoW_22.02,-105.7475,42.1468,9/25/2022,10/1/2022,6,None, ,None, ,2026489,2,0,Camera Functioning,Knee height, ,Parallel, , , , ,UoW,Grassland,Wild, , , , , 
Snapshot USA 2022,WY_Grassland_UoW_C7_D2,WY_Grassland_UoW_22.07,-105.7324,42.1332,9/25/2022,10/1/2022,6,None, ,None, ,2026540,7,0,Camera Functioning,Knee height, ,Parallel, , , , ,UoW,Grassland,Wild, , , , , 
Snapshot USA 2022,CT_Anthropogenic_Kuprewicz_22_dep_01B,CT_Anthropogenic_Kuprewicz_22_loc01,-72.2308,41.7994,9/28/2022,10/4/2022,6,None, ,None, ,2027921,Browning,0,Camera Functioning,Knee height, ,Parallel, , , , ,Storrs,Anthropogenic,Rural, , , , , 
Snapshot USA 2022,CT_Anthropogenic_Kuprewicz_22_dep_02B,CT_Anthropogenic_Kuprewicz_22_loc02,-72.2296,41.7998,9/28/2022,10/4/2022,6,None, ,None, ,2027921,Browning,0,Camera Functioning,Knee height, ,Parallel, , , , ,Storrs,Anthropogenic,Rural, , , , , 
Snapshot USA 2022,CT_Anthropogenic_Kuprewicz_22_dep_05B,CT_Anthropogenic_Kuprewicz_22_loc05,-72.2296,41.8009,9/28/2022,10/4/2022,6,None, ,None, ,2027921,Browning,0,Camera Functioning,Knee height, ,Parallel, , , , ,Storrs,Anthropogenic,Rural, , , , , 
Snapshot USA 2022,CT_Anthropogenic_Kuprewicz_22_dep_06B,CT_Anthropogenic_Kuprewicz_22_loc06,-72.2305,41.8014,9/28/2022,10/4/2022,6,None, ,None, ,2027921,Browning,0,Camera Functioning,Knee height, ,Parallel, , , , ,Storrs,Anthropogenic,Rural, , , , , 
Snapshot USA 2022,MO_Forest_hansen_22_cam02b,mo_forest_hansen_22_02b,-92.5968,40.0731,9/30/2022,10/6/2022,6,None, ,None, ,2026488,1,0,Camera Functioning,Knee height, ,Parallel, , , , ,HBHMAcres,Forest,Wild, , , , , 
Snapshot USA 2022,NY_Anthropogenic_NYC_22_loc33 09/30/2022,NY_Anthropogenic_NYC_22_loc33,-73.8250,40.7113,9/30/2022,10/6/2022,6,None, ,None, ,2062368,MRG_G32,0,Camera Hardware Failure,Knee height, ,Parallel, , , , ,NYC,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,CO_Forest_Goldfarb_GrassGulch,GrassGulch_Goldfarb,-106.1956,38.9326,10/5/2022,10/11/2022,6,None, ,None, ,2026488,1,0,Memory Card,Knee height, ,Parallel, , , , ,Goldfarb,Forest,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc15_20221007,GA_Anthropogenic_Weigel_22_loc_15,-84.3974,33.7761,10/7/2022,10/13/2022,6,None, ,Other,In a green space next to a building,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,TN_Grassland_Austin_Peay_Cam1_Turkeys,Unrestored TN Google Location 1,-87.2753,36.6182,10/14/2022,10/20/2022,6,None, ,Other,Fire Break,2022710,Camera 1,1,Camera Functioning,Knee height, ,Parallel, , , , ,AustinPeay,Grassland,Rural, , , , , 
Snapshot USA 2022,NY_Forest_SkaneatelesConservationArea_10 10/22/2022,NY_Forest_SkaneatelesConservationArea_10,-76.3962,42.9712,10/22/2022,10/28/2022,6,None, ,None, ,2058527,Browning Strikeforce 850HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Skaneateles,Forest,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc13_20221025,GA_Anthropogenic_Weigel_22_loc_13,-84.4031,33.7783,10/25/2022,10/31/2022,6,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc15_20221025,GA_Anthropogenic_Weigel_22_loc_15,-84.3974,33.7761,10/25/2022,10/31/2022,6,None, ,Other,In a green space next to a building,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc5_20221025,GA_Anthropogenic_Weigel_22_loc_5,-84.3779,33.7826,10/25/2022,10/31/2022,6,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,VA_Forest_CedarsNaturalAreaPreserve_22_loc_054,VA_Forest_CedarsNaturalAreaPreserve_22_loc_05,-83.2517,36.6394,8/27/2022,9/3/2022,7,None, ,None, ,2067289,LMU11,5,Unknown Failure,Knee height, ,Pointed Downward, , , , ,CedarsNAP,Forest,Rural, , , , , 
Snapshot USA 2022,OK_Forest_Lonsinger_dep6,OK_Forest_Lonsinger_loc6,-98.7246,34.8015,9/9/2022,9/16/2022,7,None, ,None, ,2028441,Bushnell Trophy Cam,10,Memory Card,Knee height, ,Parallel, , , , ,Lonsinger,Forest,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc14_20220912,GA_Anthropogenic_Weigel_22_loc_14,-84.3925,33.7745,9/12/2022,9/19/2022,7,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc5_20220915,GA_Anthropogenic_Weigel_22_loc_5,-84.3779,33.7826,9/15/2022,9/22/2022,7,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc8_20220915,GA_Anthropogenic_Weigel_22_loc_8,-84.3696,33.7837,9/15/2022,9/22/2022,7,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc1_20220919,GA_Anthropogenic_Weigel_22_loc_1,-84.3813,33.7904,9/19/2022,9/26/2022,7,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc14_20220919,GA_Anthropogenic_Weigel_22_loc_14,-84.3925,33.7745,9/19/2022,9/26/2022,7,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc15_20220922,GA_Anthropogenic_Weigel_22_loc_15,-84.3974,33.7761,9/22/2022,9/29/2022,7,None, ,Other,In a green space next to a building,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,SD_Grassland_OakLakeFS_22_09,SD_Grassland_OakLakeFS_22_09,-96.5422,44.5166,9/24/2022,10/1/2022,7,None, ,None, ,2028441,Bushnell Trophy Cam,0,Unknown Failure,Knee height, ,Parallel, , , , ,OakLakeFS,Grassland,Rural, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_dep01_cam02 09/26/2022,TX_Grassland_GeneHowe_22_dep01_cam02,-100.2988,35.9168,9/26/2022,10/3/2022,7,None, ,Trail game, ,2045034,2,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,DC_Forest_Urban_ProvidenceRecCenter 10/03/2022,DC_ProvidenceRecCenter,-77.2118,38.8606,10/3/2022,10/10/2022,7,None, ,Trail game, ,2021663,Bushnell,0,Camera Functioning,Knee height, ,Parallel, , , , ,Herrera,Forest,Urban, , , , , 
Snapshot USA 2022,ME_Forest_PEF 7A 10/4-10/10,PEF 7A B9,-68.6309,44.8606,10/3/2022,10/10/2022,7,None, ,None, ,2062423,7A B9,1,Camera Functioning,Knee height, ,Parallel, , , , ,PenobscotForest,Forest,Wild, , , , , 
Snapshot USA 2022,ME_Forest_PEF 7B J4 10/3-10/10,PEF 7B J4,-68.6274,44.8623,10/3/2022,10/10/2022,7,None, ,None, ,2062424,PEF 7B J4,1,Camera Functioning,Knee height, ,Parallel, , , , ,PenobscotForest,Forest,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc15_20221013,GA_Anthropogenic_Weigel_22_loc_15,-84.3974,33.7761,10/13/2022,10/20/2022,7,None, ,Other,In a green space next to a building,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam13 10/14/2022,TX_Grassland_GeneHowe_22_cam13,-100.3209,35.9199,10/14/2022,10/21/2022,7,None, ,Water source, ,2027938,13,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam16,TX_Grassland_GeneHowe_22_cam16,-100.2913,35.9136,10/14/2022,10/21/2022,7,None, ,Water source, ,2028298,16,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam17 10/14/2022,TX_Grassland_GeneHowe_22_cam17,-100.3074,35.9165,10/14/2022,10/21/2022,7,None, ,Water source, ,2027954,17,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc11_20221020,GA_Anthropogenic_Weigel_22_loc_11,-84.3996,33.7792,10/20/2022,10/27/2022,7,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,NY_Forest_CranberryLake_22_13 08/23/2022,NY_Forest_CranberryLake_22_13,-74.7795,44.1392,8/23/2022,8/31/2022,8,None, ,Trail game, ,2062333,Reconyx Hyperfire 2,0,Wildlife Damage,Knee height, ,Parallel, , , , ,CranberryLake,Forest,Wild, , , , , 
Snapshot USA 2022,OK_Forest_Lonsinger_dep3,OK_Forest_Lonsinger_loc3,-98.7278,34.7915,9/9/2022,9/17/2022,8,None, ,None, ,2028441,Bushnell Trophy Cam,10,Memory Card,Knee height, ,Parallel, , , , ,Lonsinger,Forest,Wild, , , , , 
Snapshot USA 2022,ME_Forest_PEF 6 G7 9/10-9/18,PEF 6 G7,-68.6264,44.8596,9/10/2022,9/18/2022,8,None, ,None, ,2062443,PEF 6 G7,1,Camera Functioning,Knee height, ,Parallel, , , , ,PenobscotForest,Forest,Wild, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam05B,TX_Grassland_GeneHowe_22_cam05,-100.2775,35.9125,9/22/2022,9/30/2022,8,None, ,Water source, ,2045032,5,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam09,TX_Grassland_GeneHowe_22_cam09,-100.2467,35.9324,9/27/2022,10/5/2022,8,None, ,Water source, ,2045562,9,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,DC_Forest_Urban_JeffersonDistrictPark 09/30/2022,DC_JeffersonDistrictPark,-77.2187,38.8764,9/30/2022,10/8/2022,8,None, ,Trail game, ,2021663,Bushnell,0,Camera Functioning,Knee height, ,Parallel, , , , ,Herrera,Forest,Urban, , , , , 
Snapshot USA 2022,MT_Grassland_Fort_Belknap_22_Cam04,MT_Grassland_Fort_Belknap_22_Cam04,-108.8449,48.4087,9/30/2022,10/8/2022,8,None, ,None, ,2069837,SI 57,0,Wildlife Damage,Knee height, ,Parallel, , , , ,FortBelknap,Grassland,Wild, , , , , 
Snapshot USA 2022,DC_Forest_Urban_BrenMarPark 10/03/2022,DC_BrenMarPark,-77.1504,38.8074,10/3/2022,10/11/2022,8,None, ,Trail game, ,2021663,Bushnell,0,Camera Functioning,Knee height, ,Parallel, , , , ,Herrera,Forest,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc18_20221019,GA_Anthropogenic_Weigel_22_loc_18,-84.4404,33.7824,10/19/2022,10/27/2022,8,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Forest_JonesCenter_Dep_06b,GA_Forest_JonesCenter_Loc_06,-84.4172,31.2093,10/23/2022,10/31/2022,8,None, ,Road dirt, ,2026539,6,1,Camera Functioning,Knee height, ,Parallel, , , , ,JonesCenter,Forest,Rural, , , , , 
Snapshot USA 2022,GA_Forest_Carrollton_22_dep_1 10/26/2022,GA_Forest_Carrollton_22_loc_1,-85.0901,33.5650,10/26/2022,11/3/2022,8,None, ,None, ,2024927,Bushnell DS Core No Glow,0,Camera Functioning,Knee height, ,Parallel, , , , ,Carrollton,Forest,Suburban, , , , , 
Snapshot USA 2022,NY_Forest_Mianus_River_Gorge_22_loc28 09/03/2022,NY_Forest_Mianus_River_Gorge_22_loc28,-73.6234,41.1615,9/3/2022,9/12/2022,9,None, ,None, ,2061432,MRG_G20,0,Unknown Failure,Knee height, ,Parallel, , , , ,Mianus,Forest,Suburban, , , , , 
Snapshot USA 2022,CO_Desert_Mesa_Jane1,CO_desert_Mesa_JaneGerry,-108.6221,39.0382,9/10/2022,9/19/2022,9,None, ,Other,wash,2026488,1,1,Camera Functioning,Knee height, ,Parallel, , , , ,Mesa,Desert,Suburban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc9_20220918,GA_Anthropogenic_Weigel_22_loc_9,-84.3604,33.7851,9/18/2022,9/27/2022,9,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Pointed Downward, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc3_20220919,GA_Anthropogenic_Weigel_22_loc_3,-84.3764,33.7938,9/19/2022,9/28/2022,9,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,TX_Grassland_GeneHowe_22_cam11 10/05/2022,TX_Grassland_GeneHowe_22_cam11,-100.2994,35.9104,10/5/2022,10/14/2022,9,None, ,Trail game, ,2027864,11,0,Camera Functioning,Knee height, ,Parallel, , , , ,GeneHowe,Grassland,Wild, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc16B_20221013,GA_Anthropogenic_Weigel_22_loc_16B,-84.3741,33.7835,10/13/2022,10/22/2022,9,None, ,Trail hiking, ,2027940,Bushnell Trophy Cam HD,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
Snapshot USA 2022,GA_Anthropogenic_Weigel_loc6B_20221013,GA_Anthropogenic_Weigel_22_loc_6B,-84.3718,33.7877,10/13/2022,10/22/2022,9,None, ,Trail hiking, ,2061169,Bushnell 24MP Prime Low Glow,5,Camera Functioning,Knee height, ,Parallel, , , , ,Weigel,Anthropogenic,Urban, , , , , 
