"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","Site"
"57","1","1","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110720230831_2023"
"58","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110820230831_2023"
"59","0","0","0","0","0","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_22_2019"
"60","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_25_2019"
"61","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_29_2019"
"62","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_6_2023"
"63","1","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_7_2023"
"64","0","0","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_11_2019"
"65","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_12_2019"
"66","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_13_2019"
"67","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_14_2019"
"68","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_7_2019"
"69","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_8_2019"
"70","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec003_Mem048.20190901_2019"
"71","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec010_Mem098.20190831_2019"
"72","1","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec018_Mem059.20190901_2019"
"73","1","0","1","1","0","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec021_Mem072.20180830_2019"
"74","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec024_Mem035.20190901_2019"
"75","0","1","0","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec028_Mem009.20190901_2019"
"76","1","1","1","1","0","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec033_Mem013.20190901_2019"
"77","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec038_Mem079.20190901_2019"
"78","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec041_Mem050.20190901_2019"
"79","0","0","0","0","0","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec047_Mem058.20190901_2019"
"80","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec051_Mem036.20190831_2019"
"81","0","1","0","0","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec059_Mem083.20190901_2019"
"82","0","0","0","1","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec061_Mem060.20190901_2019"
"83","0","1","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec004_Mem071.20190819_2019"
"84","1","1","1","1","1","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec006_Mem033.20190819_2019"
"85","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec025_Mem065.20190819_2019"
"86","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec039_Mem084.20190819_2019"
"87","1","1","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec042_Mem097.20190819_2019"
"88","1","1","1","1","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec044_Mem077.20190819_2019"
"89","1","1","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec045_Mem094.20190819_2019"
"90","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec046_Mem023.20190819_2019"
"91","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec050_Mem109.20190819_2019"
"92","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec057_Mem099.20190819_2019"
"93","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec060_Mem046.20190819_2019"
"94","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec063_Mem108.20190819_2019"
"95","1","1","1","1","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec064_Mem042.20190819_2019"
"96","0","0","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec012_Mem063.20190831_2019"
"97","1","1","0","0","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec020_Mem081.20190831_2019"
"98","0","0","1","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec023_Mem064.20190831_2019"
"99","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec027_Mem091.20190831_2019"
"100","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec030_Mem089.20190831_2019"
"101","0","1","0","0","1","0","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec032_Mem075.20190831_2019"
"102","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec036_Mem018.20190831_2019"
"103","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec040_Mem068.20190831_2019"
"104","0","0","0","0","0","1","1","1","0","0","0","0","0",NA,NA,NA,NA,"BAC.MSLA_Bro007_Mem209.20190730_2019"
"105","1","1","1","1","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro031_Mem207.20190730_2019"
"106","1","1","1","1","1","1","0","1","0","1","1",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro072_Mem212.20190904_2019"
"107","1","1","1","1","0","1","0","0","0","0","1","0",NA,NA,NA,NA,NA,"BAC.MSLA_Bro074_Mem214.20190823_2019"
"108","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro078_Mem194.20190904_2019"
"109","1","1","1","1","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro016_Mem116.20190830_2019"
"110","0","1","0","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro021_Mem210.20190830_2019"
"111","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro029_Mem195.20190830_2019"
"112","1","1","1","1","1","0","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro032_Mem204.20190830_2019"
"113","1","1","1","1","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro037_Mem205.20190830_2019"
"114","1","0","1","1","0","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro042_Mem144.20190830_2019"
"115","0","0","0","1","0","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro073_Mem169.20190830_2019"
"116","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec004_Mem102.20200831_2020"
"117","1","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec004_Mem135.20210530_2021"
"118","1","1","1","1","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec006_Mem085.20200901_2020"
"119","1","0","1","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec010_Mem195.20210530_2021"
"120","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec014_Mem020.20200831_2020"
"121","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec014_Mem210.20210529_2021"
"122","1","1","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec017_Mem159.20210529_2021"
"123","0","0","0","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec025_Mem076.20200831_2020"
"124","1","1","1","1","0","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec027_Mem113.20210530 08/23/2021_2021"
"125","0","1","1","0","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec036_Mem069.20200831_2020"
"126","0","1","1","1","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec036_Mem165.20210529 08/23/2021_2021"
"127","0","0","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec039_Mem137.20210529_2021"
"128","1","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec040_Mem100.20200831_2020"
"129","1","1","0","1","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec041_Mem099.20200831_2020"
"130","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec042_Mem144.20210530_2021"
"131","1","0","1","0","0","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec043_Mem081.20200901_2020"
"132","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec043_Mem204.20210530_2021"
"133","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec044_Mem065.20200831_2020"
"134","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec044_Mem172.20210529_2021"
"135","0","1","0","0","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec045_Mem064.20200831_2020"
"136","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec045_Mem216.20210529_2021"
"137","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec046_Mem117.20210530_2021"
"138","1","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec048_Mem148.20210529.fix_2021"
"139","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec049_Mem095.20200901_2020"
"140","1","0","0","1","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec049_Mem211.20210530_2021"
"141","0","0","0","0","0","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec050_Mem060.20200831_2020"
"142","1","1","0","0","0","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec050_Mem150.20210529_2021"
"143","0","0","1","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec051_Mem036.20200831_2020"
"144","1","1","1","1","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec051_Mem187.20210529_2021"
"145","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec052_Mem152.20210530_2021"
"146","1","1","0","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec056_Mem033.20200901_2020"
"147","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec056_Mem219.20210530_2021"
"148","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec058_Mem097.20200831_2020"
"149","1","1","1","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec058_Mem173.20210529_2021"
"150","0","0","0","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec060_Mem194.20210530_2021"
"151","0","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec063_Mem079.20200831_2020"
"152","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec063_Mem139.20210529_2021"
"153","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec064_Mem061.20200831_2020"
"154","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec064_Mem214.20210529_2021"
"155","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL_Forest_Melrose_12_54/FL20_N26_2022"
"156","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_2_2019"
"157","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_3_2019"
"158","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_7_2019"
"159","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_8_2019"
"160","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_10_2019"
"161","0","0","1","0","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_01_01_2022"
"162","1","1","1","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_02_01_2022"
"163","1","1","1","0","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_03_01_2022"
"164","1","1","1","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_05_01_2022"
"165","0","1","1","0","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_08_01_2022"
"166","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_10_01_2022"
"167","1","0","0","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_12_01_2022"
"168","1","1","0","0","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_13_01_2022"
"169","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_14_01_2022"
"170","0","1","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_16_01_2022"
"171","0","0","0","0","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_18_01_2022"
"172","1","1","0","1","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_19_01_2022"
"173","0","1","1","1","1","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_20_01_2022"
"174","0","1","1","1","0","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_31_01_2022"
"175","0","1","1","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_32_01_2022"
"176","0","1","0","0","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_34_01_2022"
"177","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_35_01_2022"
"178","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_36_01_2022"
"179","1","1","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_37_01_2022"
"180","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_38_01_2022"
"181","1","0","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_40_01_2022"
"182","0","1","0","0","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_41_01_2022"
"183","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_42_01_2022"
"184","1","0","1","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_43_01_2022"
"185","1","0","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_44_01_2022"
"186","0","0","0","0","0","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_54_01_2022"
"187","0","0","0","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_17_2023"
"188","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_1_2023"
"189","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_20_2023"
"190","1","0","1","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_31_2023"
"191","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_32_2023"
"192","0","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_33_2023"
