"project_id","subproject_name","habitat","deployment_id","placename","longitude","latitude","start_date","end_date","feature_type"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 13 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 13",-85.482881,32.661315,"2021-10-04","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 14 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 14",-85.484886,32.661362,"2021-10-04","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_Camera 2 10/03/2021","AL_Forest_Fantle-Lepczyk_21_Camera 2",-85.487035,32.661727,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 3 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 3",-85.488635,32.662641,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 11 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 11",-85.485452,32.663064,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 8 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 8",-85.482693,32.663324,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 10 10/04/2021","AL_Forest_Fantle-Lepczyk_21_camera 10",-85.487013,32.663625,"2021-10-04","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 4 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 4",-85.488724,32.664343,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 5 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 5",-85.487386,32.665209,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 7 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 7",-85.483126,32.66524,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","Fantle-Lepczyk","Forest","AL_Forest_Fantle-Lepczyk_21_camera 6 10/03/2021","AL_Forest_Fantle-Lepczyk_21_camera 6",-85.485108,32.665422,"2021-10-03","2021-12-04","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_06","AR_Forest_DeGregorio_21_loc_06",-93.69858,36.25188,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_02","AR_Forest_DeGregorio_21_loc_02",-93.70936,36.25343,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_04","AR_Forest_DeGregorio_21_loc_04",-93.7055,36.25358,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_07","AR_Forest_DeGregorio_21_loc_07",-93.69842,36.25423,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_03","AR_Forest_DeGregorio_21_loc_03",-93.70441,36.2543,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_05","AR_Forest_DeGregorio_21_loc_05",-93.70083,36.25434,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_08","AR_Forest_DeGregorio_21_loc_08",-93.70244,36.25513,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_10","AR_Forest_DeGregorio_21_Loc_10",-93.70875,36.25538,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_11","AR_Forest_DeGregorio_21_Loc_11",-93.70729,36.25712,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_12","AR_Forest_DeGregorio_21_Loc_12",-93.70604,36.25741,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_09","AR_Forest_DeGregorio_21_Loc_09",-93.70019,36.25794,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","DeGregorio","Forest","AR_Forest_DeGregorio_21_dep_13","AR_Forest_DeGregorio_21_Loc_13",-93.70463,36.25915,"2021-09-21","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_09,CA_Forest_SierraNevada_21_loc_09, 08/27/2021","CA_Forest_SierraNevada_21_dep_01, CA_Forest_SierraNevada_21_loc_01,",-119.698846,37.36184,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_10,CA_Forest_SierraNevada_21_loc_10, 08/27/2021","CA_Forest_SierraNevada_21_dep_10,CA_Forest_SierraNevada_21_loc_10,",-119.692881,37.367026,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_04,CA_Forest_SierraNevada_21_loc_04, 08/27/2021","CA_Forest_SierraNevada_21_dep_04,CA_Forest_SierraNevada_21_loc_04,",-119.6684335,37.367392100000004,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_02,CA_Forest_SierraNevada_21_loc_02, 08/27/2021","CA_Forest_SierraNevada_21_dep_02,CA_Forest_SierraNevada_21_loc_02,",-119.676376,37.367503,"2021-08-27","2021-10-29","Trail hiking"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_03,CA_Forest_SierraNevada_21_loc_03, 08/27/2021","CA_Forest_SierraNevada_21_dep_03,CA_Forest_SierraNevada_21_loc_03,",-119.6738159,37.367845,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_08,CA_Forest_SierraNevada_21_loc_08, 08/27/2021","CA_Forest_SierraNevada_21_dep_08,CA_Forest_SierraNevada_21_loc_08,",-119.69914,37.370683,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_06,CA_Forest_SierraNevada_21_loc_06, 08/27/2021","CA_Forest_SierraNevada_21_dep_06,CA_Forest_SierraNevada_21_loc_06,",-119.6814405,37.37083414,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_05,CA_Forest_SierraNevada_21_loc_05, 08/27/2021","CA_Forest_SierraNevada_21_dep_05,CA_Forest_SierraNevada_21_loc_05,",-119.669007,37.374195,"2021-08-27","2021-10-29","Water source"
"Snapshot USA 2021","SierraNevada","Forest","CA_Forest_SierraNevada_21_dep_07,CA_Forest_SierraNevada_21_loc_07, 08/27/2021","CA_Forest_SierraNevada_21_dep_07,CA_Forest_SierraNevada_21_loc_07,",-119.683887,37.378245,"2021-08-27","2021-10-29","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_11, CA_Grassland_Carrizo_21_loc_11 09/03/2021","CA_Grassland_Carrizo_21_dep_11, CA_Grassland_Carrizo_21_loc_11",-120.05852,35.337082,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_12, CA_Grassland_Carrizo_21_loc_12 09/03/2021","CA_Grassland_Carrizo_21_dep_12, CA_Grassland_Carrizo_21_loc_12",-120.069772,35.337186,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_10, CA_Grassland_Carrizo_21_loc_10 09/03/2021","CA_Grassland_Carrizo_21_dep_10, CA_Grassland_Carrizo_21_loc_10",-120.009423,35.356755,"2021-09-03","2021-10-01","Road dirt"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_02, CA_Grassland_Carrizo_21_loc_02 09/03/2021","CA_Grassland_Carrizo_21_dep_02, CA_Grassland_Carrizo_21_loc_02",-120.014127,35.366086,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","C 09/03/2021","CA_Grassland_Carrizo_21_dep_01, CA_Grassland_Carrizo_21_loc_01",-120.019248,35.366101,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_03, CA_Grassland_Carrizo_21_loc_03 09/03/2021","CA_Grassland_Carrizo_21_dep_03, CA_Grassland_Carrizo_21_loc_03",-119.987339,35.383607,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_09, CA_Grassland_Carrizo_21_loc_09 09/03/2021","CA_Grassland_Carrizo_21_dep_09, CA_Grassland_Carrizo_21_loc_09",-120.010411,35.384439,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_04, CA_Grassland_Carrizo_21_loc_04 09/03/2021","CA_Grassland_Carrizo_21_dep_04, CA_Grassland_Carrizo_21_loc_04",-119.987217,35.392747,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_08, CA_Grassland_Carrizo_21_loc_08 09/03/2021","CA_Grassland_Carrizo_21_dep_08, CA_Grassland_Carrizo_21_loc_08",-120.013977,35.393587,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_05, CA_Grassland_Carrizo_21_loc_05 09/03/2021","CA_Grassland_Carrizo_21_dep_05, CA_Grassland_Carrizo_21_loc_05",-119.99311,35.395391,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_07, CA_Grassland_Carrizo_21_loc_07 09/03/2021","CA_Grassland_Carrizo_21_dep_07, CA_Grassland_Carrizo_21_loc_07",-120.013967,35.401006,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_06, CA_Grassland_Carrizo_21_loc_06 09/03/2021","CA_Grassland_Carrizo_21_dep_06, CA_Grassland_Carrizo_21_loc_06",-120.020726,35.40818,"2021-09-03","2021-10-01","Water source"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_15, CA_Grassland_Carrizo_21_loc_15 09/03/2021","CA_Grassland_Carrizo_21_dep_15, CA_Grassland_Carrizo_21_loc_15",-120.050862,35.408436,"2021-09-03","2021-10-01","None"
"Snapshot USA 2021","Carrizo","Grassland","CA_Grassland_Carrizo_21_dep_13, CA_Grassland_Carrizo_21_loc_13 09/03/2021","CA_Grassland_Carrizo_21_dep_13, CA_Grassland_Carrizo_21_loc_13",-120.094062,35.410517,"2021-09-03","2021-10-01","Road dirt"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_01 08/29/2021","CO_GrasslandOak_USAFA_21_dep_01",-104.87861,38.97333,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_deployment_03 08/29/2021","CO_GrasslandOak_USAFA_21_deployment_03",-104.88262,38.9734,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_02 08/29/2021","CO_GrasslandOak_USAFA_21_dep_02",-104.88047,38.97363,"2021-08-29","2021-09-14","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_deployment_04 08/29/2021","CO_GrasslandOak_USAFA_21_deployment_04",-104.88515,38.97417,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_deployment_05 08/29/2021","CO_GrasslandOak_USAFA_21_deployment_05",-104.88602,38.97593,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_12 08/29/2021","CO_GrasslandOak_USAFA_21_dep_12",-104.85142,38.98335,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_14 08/29/2021","CO_GrasslandOak_USAFA_21_dep_14",-104.84615,38.9845,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_15 08/29/2021","CO_GrasslandOak_USAFA_21_dep_15",-104.9041,39.00108,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_deployment_06 08/29/2021","CO_GrasslandOak_USAFA_21_deployment_06",-104.90447,39.0064,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_10 08/29/2021","CO_GrasslandOak_USAFA_21_dep_10",-104.8991,39.00763,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_07 08/29/2021","CO_GrasslandOak_USAFA_21_dep_07",-104.9046,39.00863,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_deployment_08 08/29/2021","CO_GrasslandOak_USAFA_21_deployment_08",-104.9065,39.00955,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_18 08/29/2021","CO_GrasslandOak_USAFA_21_dep_18",-104.85245,39.01088,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_17 08/29/2021","CO_GrasslandOak_USAFA_21_dep_17",-104.85232,39.01517,"2021-08-29","2021-09-03","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_17 09/03/2021","CO_GrasslandOak_USAFA_21_dep_17_2",-104.85232,39.01517,"2021-09-03","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_21 08/29/2021","CO_GrasslandOak_USAFA_21_dep_21",-104.8545,39.02872,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_20 08/29/2021","CO_GrasslandOak_USAFA_21_dep_20",-104.84945,39.02988,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_23 08/29/2021","CO_GrasslandOak_USAFA_21_dep_23",-104.86812,39.03133,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_22 08/29/2021","CO_GrasslandOak_USAFA_21_dep_22",-104.87277,39.03328,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","USAFA","Grassland","CO_GrasslandOak_USAFA_21_dep_24 08/29/2021","CO_GrasslandOak_USAFA_21_dep_24",-104.85213,39.03565,"2021-08-29","2021-09-26","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_10","CT_Anthropogenic_Forest_Storrs_21_loc_10",-72.232339,41.799022,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_01","CT_Anthropogenic_Forest_Storrs_21_loc_01",-72.230827,41.799433,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_08","CT_Anthropogenic_Forest_Storrs_21_loc_08",-72.2321,41.799671,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_02","CT_Anthropogenic_Forest_Storrs_21_loc_02",-72.229611,41.799791,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_07","CT_Anthropogenic_Forest_Storrs_21_loc_07",-72.230879,41.800076,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_03","CT_Anthropogenic_Forest_Storrs_21_loc_03",-72.228531,41.800138,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_04","CT_Anthropogenic_Forest_Storrs_21_loc_04",-72.227481,41.80028,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_09","CT_Anthropogenic_Forest_Storrs_21_loc_09",-72.233724,41.800317,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_05","CT_Anthropogenic_Forest_Storrs_21_loc_05",-72.229637,41.800909,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_06","CT_Anthropogenic_Forest_Storrs_21_loc_06",-72.230495,41.801419,"2021-09-01","2021-10-02","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_20","CT_Anthropogenic_Forest_Storrs_21_loc_20",-72.255377,41.812334,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_19","CT_Anthropogenic_Forest_Storrs_21_loc_19",-72.254896,41.813279,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_18","CT_Anthropogenic_Forest_Storrs_21_loc_18",-72.2564,41.813713,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_17","CT_Anthropogenic_Forest_Storrs_21_loc_17",-72.255934,41.814532,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_16","CT_Anthropogenic_Forest_Storrs_21_loc_16",-72.257152,41.814644,"2021-10-03","2021-10-10","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_12","CT_Anthropogenic_Forest_Storrs_21_loc_12",-72.258726,41.814921,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_15","CT_Anthropogenic_Forest_Storrs_21_loc_15",-72.256753,41.815259,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_14","CT_Anthropogenic_Forest_Storrs_21_loc_14",-72.257098,41.815608,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_13","CT_Anthropogenic_Forest_Storrs_21_loc_13",-72.258062,41.815709,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","Storrs","Anthropogenic","CT_Anthropogenic_Forest_Storrs_21_dep_11","CT_Anthropogenic_Forest_Storrs_21_loc_11",-72.258838,41.816147,"2021-10-03","2021-11-14","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.05 09/03/2021","CT_Forest_Davis_21.05",-72.32366,41.88178,"2021-09-03","2021-10-11","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.04 09/03/2021","CT_Forest_Davis_21.04",-72.32477,41.88347,"2021-09-03","2021-10-11","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.01 09/03/2021","CT_Forest_Davis_21.01",-72.32718,41.88351,"2021-09-03","2021-10-11","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.03 09/03/2021","CT_Forest_Davis_21.03",-72.3246,41.88541,"2021-09-03","2021-10-11","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.06 09/04/2021","CT_Forest_Davis_21.06",-72.32623,41.88892,"2021-09-04","2021-10-15","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.07 09/04/2021","CT_Forest_Davis_21.07",-72.32864,41.88907,"2021-09-04","2021-10-15","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.11 09/04/2021","CT_Forest_Davis_21.11",-72.32355,41.88921,"2021-09-04","2021-09-28","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.10 09/04/2021","CT_Forest_Davis_21.10",-72.32314,41.89096,"2021-09-04","2021-10-15","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.08 09/04/2021","CT_Forest_Davis_21.08",-72.32874,41.89105,"2021-09-04","2021-09-26","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.09 09/04/2021","CT_Forest_Davis_21.09",-72.32593,41.89105,"2021-09-04","2021-10-15","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.14 09/06/2021","CT_Forest_Davis_21.14",-72.30395,41.89798,"2021-09-06","2021-10-22","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.12 09/06/2021","CT_Forest_Davis_21.12",-72.30968,41.89799,"2021-09-06","2021-10-03","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.13 09/06/2021","CT_Forest_Davis_21.13",-72.30669,41.89829,"2021-09-06","2021-10-22","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.16 09/06/2021","CT_Forest_Davis_21.16",-72.30716,41.89998,"2021-09-06","2021-10-22","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.15 09/06/2021","CT_Forest_Davis_21.15",-72.30396,41.90006,"2021-09-06","2021-10-22","None"
"Snapshot USA 2021","NyeHolman","Forest","CT_Forest_Davis_21.17 09/06/2021","CT_Forest_Davis_21.17",-72.30704,41.90203,"2021-09-06","2021-10-20","None"
"Snapshot USA 2021","Gregory","Anthropogenic","DC-RCNP-04 09/07/2021","DC-RCNP-04",-77.046865,38.944775,"2021-09-07","2021-10-16","None"
"Snapshot USA 2021","Gregory","Anthropogenic","DC-RCNP-03 09/07/2021","DC-RCNP-03",-77.046863,38.958102,"2021-09-07","2021-10-16","None"
"Snapshot USA 2021","Gregory","Anthropogenic","DC-RCNP-02 09/03/2021","DC-RCNP-02",-77.044881,38.973558,"2021-09-03","2021-10-17","None"
"Snapshot USA 2021","Gregory","Anthropogenic","DC-RCNP-01-2021","DC-RCNP-01",-77.049771,38.982335,"2021-09-03","2021-10-17","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_FortFootePark 10/08/2021","DC_FortFootePark",-77.0286056,38.7699292,"2021-10-08","2021-11-14","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_MtVernonPark 10/13/2021","DC_MtVernonPark",-77.06477472,38.77212483,"2021-10-13","2021-11-13","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_LeeDistPark 10/12/2021","DC_LeeDistPark",-77.10881939,38.77238327,"2021-10-12","2021-11-13","Trail hiking"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_TuckerComCenter 10/08/2021","DC_TuckerComCenter",-76.98255258,38.78396526,"2021-10-08","2021-11-14","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_LoftridgePark 10/12/2021","DC_LoftridgePark",-77.10560757,38.79505723,"2021-10-12","2021-11-13","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_JonesPointPark 10/08/2021","DC_JonesPointPark",-77.04201139,38.79564575,"2021-10-08","2021-11-14","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_BrenMarPark 10/12/2021","DC_BrenMarPark",-77.1502,38.807468,"2021-10-12","2021-11-13","None"
"Snapshot USA 2021","Herrera","Anthropogenic","DC_FortWilliamsCulvert 11/04/2021","DC_FortWilliamsCulvert",-77.09522577,38.81011101,"2021-11-04","2021-11-16","Water source"
