Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Humans_Per_Camera_Per_Day,Disturbance
CoteauRanch,6CoteauRanch 09/30/2023_2023,2023,47.398301,-100.268694,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.0137051939964294
CoteauRanch,7CoteauRanch 09/30/2023_2023,2023,47.392796,-100.267568,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.0137051939964294
CoteauRanch,8CoteauRanch 09/30/2023_2023,2023,47.39401,-100.275568,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.00212523341178894
CoteauRanch,9CoteauRanch 09/30/2023_2023,2023,47.41722,-100.248028,2023-09-30,2023-11-03,34,Grassland,Rural,2,0.0588235294117647,0.176421463489532
Afognak,AK_Forest_Afognak_22_C22-05_2022,2022,58.24012,-152.21669,2022-08-31,2022-10-04,34,Forest,Wild,9,0.264705882352941,0.178810298442841
Afognak,AK_Forest_Afognak_22_C22-10_2022,2022,58.258,-152.2169,2022-08-31,2022-10-04,34,Forest,Wild,15,0.441176470588235,0.233883649110794
Afognak,AK_Forest_Afognak_22_C22-15 08/31/2022_2022,2022,58.2669,-152.20229,2022-08-31,2022-10-04,34,Forest,Wild,8,0.235294117647059,0.339081943035126
Afognak,AK_Forest_Afognak_22_C22-16_2022,2022,58.27627,-152.27123,2022-08-30,2022-10-04,35,Forest,Wild,4,0.114285714285714,0.0818699598312378
Afognak,AK_Forest_Afognak_22_C22-18 08/31/2022_2022,2022,58.27618,-152.23811,2022-08-31,2022-10-04,34,Forest,Wild,31,0.911764705882353,0.161393731832504
Afognak,AK_Forest_Afognak_22_C22-21 08/30/2022_2022,2022,58.28619,-152.28911,2022-08-30,2022-10-04,35,Forest,Wild,3,0.0857142857142857,0.165077269077301
Afognak,AK_Forest_Afognak_22_C22-27 08/30/2022_2022,2022,58.29431,-152.3045,2022-08-30,2022-10-04,35,Forest,Wild,4,0.114285714285714,0.215221256017685
Afognak,AK_Forest_Afognak_22_C22-51 08/30/2022_2022,2022,58.34107,-152.3538,2022-08-30,2022-10-04,35,Forest,Wild,60,1.71428571428571,0.0812109410762787
Afognak,AK_Forest_Afognak_22_C22-57 09/01/2022_2022,2022,58.29307,-152.35754,2022-09-01,2022-10-04,33,Forest,Wild,3,0.0909090909090909,0.33902770280838
Afognak,AK_Forest_Afognak_22_C22-59 09/01/2022_2022,2022,58.28453,-152.37792,2022-09-01,2022-10-04,33,Forest,Wild,9,0.272727272727273,0.164958029985428
Afognak,AK_Forest_Afognak_22_C22-60 09/01/2022_2022,2022,58.28519,-152.35924,2022-09-01,2022-10-04,33,Forest,Wild,6,0.181818181818182,0.291621088981628
Afognak,AK_Forest_Afognak_22_W-25 09/01/2022_2022,2022,58.32125,-152.32087,2022-09-01,2022-10-03,32,Forest,Wild,7,0.21875,0.220528781414032
Afognak,AK_Forest_Afognak_22_W-9 09/01/2022_2022,2022,58.32849,-152.3278,2022-09-01,2022-10-03,32,Forest,Wild,7,0.21875,0.220528781414032
Crupi,AK_Forest_Chilkat_Preserve_1_2019,2019,59.42643,-136.2225,2019-08-31,2019-11-03,64,Forest,Wild,0,0,0.200874865055084
Crupi,AK_Forest_Chilkat_Preserve_20_01_2020,2020,59.42643,-136.22251,2020-08-26,2020-11-28,94,Forest,Wild,2,0.0212765957446809,0.200874865055084
Crupi,AK_Forest_Chilkat_Preserve_20_02_2020,2020,59.39905,-135.92881,2020-08-27,2020-11-04,69,Forest,Wild,2,0.0289855072463768,0.319985806941986
Crupi,AK_Forest_Chilkat_Preserve_20_03_2020,2020,59.3802,-135.84097,2020-08-27,2020-11-03,68,Forest,Wild,9,0.132352941176471,0.22547972202301
Crupi,AK_Forest_Chilkat_Preserve_20_04_2020,2020,59.42641,-136.3046,2020-09-26,2020-10-30,34,Forest,Wild,3,0.0882352941176471,0.138943284749985
Crupi,AK_Forest_Chilkat_Preserve_20_05_2020,2020,59.41194,-136.15142,2020-08-26,2020-11-04,70,Forest,Wild,1,0.0142857142857143,0.346962332725525
Crupi,AK_Forest_Chilkat_Preserve_20_06_2020,2020,59.41492,-136.07539,2020-08-27,2020-11-05,70,Forest,Wild,1,0.0142857142857143,0.0978966951370239
Crupi,AK_Forest_Chilkat_Preserve_20_08_2020,2020,59.41423,-136.06423,2020-08-27,2020-11-05,70,Forest,Wild,3,0.0428571428571429,0.178985863924026
Crupi,AK_Forest_Chilkat_Preserve_2_2019,2019,59.39905,-135.9288,2019-08-29,2019-11-04,67,Forest,Wild,3,0.0447761194029851,0.319985806941986
Crupi,AK_Forest_Chilkat_Preserve_3_2019,2019,59.3802,-135.84097,2019-08-29,2019-11-03,66,Forest,Wild,6,0.0909090909090909,0.22547972202301
Crupi,AK_Forest_Chilkat_Preserve_4_2019,2019,59.42641,-136.30461,2019-08-27,2019-11-03,68,Forest,Wild,7,0.102941176470588,0.138943284749985
Crupi,AK_Forest_Chilkat_Preserve_5_2019,2019,59.41195,-136.15141,2019-08-27,2019-11-03,68,Forest,Wild,3,0.0441176470588235,0.346962332725525
Crupi,AK_Forest_Chilkat_Preserve_6_2019,2019,59.41492,-136.0754,2019-08-18,2019-11-03,77,Forest,Wild,1,0.012987012987013,0.0978966951370239
Crupi,AK_Forest_Chilkat_Preserve_7_2019,2019,59.41505,-136.0691,2019-08-31,2019-11-02,63,Forest,Wild,2,0.0317460317460317,0.0978966951370239
Crupi,AK_Forest_Chilkat_Preserve_8_2019,2019,59.41423,-136.06422,2019-08-30,2019-11-03,65,Forest,Wild,2,0.0307692307692308,0.178985863924026
Crupi,AK_Forest_Crupi_21_dep_01 08/30/2021_2021,2021,59.42643109,-136.2225117,2021-08-30,2021-12-15,107,Forest,Wild,2,0.0186915887850467,0.200874865055084
Crupi,AK_Forest_Crupi_21_dep_02 09/01/2021_2021,2021,59.39466,-135.87256,2021-09-01,2021-12-16,106,Forest,Wild,2,0.0188679245283019,0.0834033191204071
Crupi,AK_Forest_Crupi_21_dep_03 09/01/2021_2021,2021,59.39905304,-135.9288107,2021-09-01,2021-12-16,106,Forest,Wild,2,0.0188679245283019,0.319985806941986
Crupi,AK_Forest_Crupi_21_dep_04 04 08/31/2021_2021,2021,59.4264141,-136.3046087,2021-08-31,2021-12-15,106,Forest,Wild,3,0.0283018867924528,0.138943284749985
Crupi,AK_Forest_Crupi_21_dep_05 08/30/2021_2021,2021,59.41491635,-136.0753879,2021-08-30,2021-12-15,107,Forest,Wild,2,0.0186915887850467,0.0978966951370239
Crupi,AK_Forest_Crupi_21_dep_06 08/30/2021_2021,2021,59.41505398,-136.0691137,2021-08-30,2021-12-16,108,Forest,Wild,4,0.037037037037037,0.0978966951370239
Crupi,AK_Forest_Crupi_21_dep_07 08/31/2021_2021,2021,59.41422998,-136.0642317,2021-08-31,2021-12-15,106,Forest,Wild,3,0.0283018867924528,0.178985863924026
Crupi,AK_Forest_Crupi_21_dep_08 08/30/2021_2021,2021,59.403024,-136.145609,2021-08-29,2021-10-12,44,Forest,Wild,2,0.0454545454545455,0.160553395748138
Crupi,AK_Forest_Crupi_21_dep_09 08/24/2021_2021,2021,59.358192,-135.955056,2021-08-24,2021-10-11,48,Forest,Wild,2,0.0416666666666667,1.1765196594737402e-9
Crupi,AK_Forest_Crupi_21_dep_10 08/24/2021_2021,2021,59.452635,-136.20086,2021-08-24,2021-10-10,47,Forest,Wild,2,0.0425531914893617,0.251709043979645
Crupi,AK_Forest_Crupi_22_loc02 08/09/2022_2022,2022,59.42643109,-136.2225117,2022-08-08,2022-08-10,2,Forest,Wild,0,0,0.200874865055084
Crupi,AK_Forest_Crupi_22_loc04 07/08/2022_2022,2022,59.4264141,-136.3046087,2022-08-10,2022-10-09,60,Forest,Wild,1,0.0166666666666667,0.138943284749985
Crupi,AK_Forest_Crupi_22_loc05_2022,2022,59.41491635,-136.0753879,2022-08-30,2022-11-04,66,Forest,Wild,2,0.0303030303030303,0.0978966951370239
Crupi,AK_Forest_Crupi_23 07/26/2023_2023,2023,59.425637,-136.283158,2023-08-02,2023-11-03,93,Forest,Wild,8,0.0860215053763441,0.150516480207443
Crupi,AK_Forest_Crupi_dep_02 09/01/2022_2022,2022,59.39466,-135.87256,2022-09-01,2022-11-05,65,Forest,Wild,5,0.0769230769230769,0.0834033191204071
Crupi,AK_Forest_Crupi_dep_03_2022,2022,59.39905304,-135.9288107,2022-08-16,2022-11-05,81,Forest,Wild,2,0.0246913580246914,0.319985806941986
Crupi,AK_Forest_Crupi_loc_06_2022,2022,59.41505398,-136.0691137,2022-08-30,2022-11-04,66,Forest,Wild,4,0.0606060606060606,0.0978966951370239
Crupi,AK_Forest_Crupi_loc_07 08/30/2022_2022,2022,59.41422998,-136.0642317,2022-08-30,2022-11-04,66,Forest,Wild,2,0.0303030303030303,0.178985863924026
Crupi,AK_Forest_Crupi_loc_08 07/08/2022_2022,2022,59.403024,-136.145609,2022-08-16,2022-10-09,54,Forest,Wild,1,0.0185185185185185,0.160553395748138
Crupi,AK_Forest_Crupi_loc_09 08/27/2022_2022,2022,59.358192,-135.955056,2022-08-27,2022-10-09,43,Forest,Wild,2,0.0465116279069767,1.1765196594737402e-9
Crupi,AK_Forest_Crupi_loc_10 08/26/2022_2022,2022,59.452635,-136.20086,2022-08-26,2022-10-09,44,Forest,Wild,2,0.0454545454545455,0.251709043979645
Crupi,AK_Forest_Crupi_loc_11 07/08/2022_2022,2022,59.44281,-136.388257,2022-08-12,2022-10-09,58,Forest,Wild,1,0.0172413793103448,0.070445328950882
Crupi,AK_Forest_Wild_Crupi_dep_01_2023,2023,59.42643109,-136.2225117,2023-08-02,2023-11-03,93,Forest,Wild,1,0.010752688172043,0.200874865055084
Crupi,AK_Forest_Wild_Crupi_dep_02_2023,2023,59.39466,-135.87256,2023-08-09,2023-11-04,87,Forest,Wild,4,0.0459770114942529,0.0834033191204071
Crupi,AK_Forest_Wild_Crupi_dep_03_2023,2023,59.39905,-135.92881,2023-08-21,2023-11-04,75,Forest,Wild,4,0.0533333333333333,0.319985806941986
Crupi,AK_Forest_Wild_Crupi_dep_06_2023,2023,59.41505,-136.06911,2023-08-31,2023-11-03,64,Forest,Wild,3,0.046875,0.0978966951370239
Crupi,AK_Forest_Wild_Crupi_dep_07_2023,2023,59.41422998,-136.0642317,2023-08-31,2023-11-03,64,Forest,Wild,2,0.03125,0.178985863924026
Crupi,AK_Forest_Wild_Crupi_dep_08_2023,2023,59.403024,-136.145609,2023-08-02,2023-10-10,69,Forest,Wild,2,0.0289855072463768,0.160553395748138
Crupi,AK_Forest_Wild_Crupi_dep_09_2023,2023,59.358192,-135.955056,2023-08-02,2023-10-10,69,Forest,Wild,1,0.0144927536231884,1.1765196594737402e-9
Crupi,AK_Forest_Wild_Crupi_dep_10_2023,2023,59.452635,-136.20086,2023-08-19,2023-08-24,5,Forest,Wild,1,0.2,0.251709043979645
Crupi,AK_Forest_Wild_Crupi_dep_11_2023,2023,59.440571,-136.353833,2023-08-03,2023-08-22,19,Forest,Wild,0,0,0.275314927101135
Crupi,AK_Forest_Wild_Crupi_dep_12_2023,2023,59.39226,-136.05232,2023-08-01,2023-11-04,95,Forest,Wild,1,0.0105263157894737,0.120297610759735
Fantle-Lepczyk,AL_Forest_Auburn_10_2019,2019,32.66487,-85.48588,2019-10-13,2019-11-06,24,Forest,Suburban,87,3.625,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_12_2019,2019,32.6644,-85.48485,2019-10-13,2019-11-02,20,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_13_2019,2019,32.66379,-85.48567,2019-10-13,2019-11-06,24,Forest,Suburban,1,0.0416666666666667,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_14_2019,2019,32.66455,-85.4863,2019-10-13,2019-11-06,24,Forest,Suburban,3,0.125,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_15_2019,2019,32.66385,-85.48677,2019-10-14,2019-11-06,23,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_16_2019,2019,32.66366,-85.48525,2019-10-13,2019-11-06,24,Forest,Suburban,95,3.95833333333333,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_17_2019,2019,32.66363,-85.48324,2019-10-13,2019-10-28,15,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_18_2019,2019,32.66131,-85.48274,2019-10-13,2019-11-05,23,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_19_2019,2019,32.66335,-85.48654,2019-10-14,2019-11-04,21,Forest,Suburban,88,4.19047619047619,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_1_2019,2019,32.66049,-85.4881,2019-10-12,2019-11-06,25,Forest,Suburban,160,6.4,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_02_2020,2020,32.6612,-85.48712,2020-10-11,2020-11-25,45,Forest,Suburban,3,0.0666666666666667,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_04_2020,2020,32.66264,-85.48766,2020-10-11,2020-11-22,42,Forest,Suburban,4,0.0952380952380952,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_05_2020,2020,32.66302,-85.48793,2020-10-11,2020-11-24,44,Forest,Suburban,2,0.0454545454545455,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_07_2020,2020,32.66389,-85.48844,2020-10-11,2020-11-25,45,Forest,Suburban,1,0.0222222222222222,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_14_2020,2020,32.66447,-85.48639,2020-10-12,2020-11-25,44,Forest,Suburban,1,0.0227272727272727,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_15_2020,2020,32.66437,-85.48717,2020-10-13,2020-11-24,42,Forest,Suburban,3,0.0714285714285714,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_16_2020,2020,32.65922,-85.48719,2020-10-13,2020-11-25,43,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_17_2020,2020,32.66358,-85.48308,2020-10-13,2020-11-25,43,Forest,Suburban,1,0.0232558139534884,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_20_18_2020,2020,32.66138,-85.48267,2020-10-13,2020-11-25,43,Forest,Suburban,3,0.0697674418604651,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_20_19_2020,2020,32.66363,-85.4863,2020-10-13,2020-10-26,13,Forest,Suburban,1,0.0769230769230769,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_2019,2019,32.66298,-85.48557,2019-10-17,2019-11-06,20,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_20_24_2020,2020,32.65977,-85.48338,2020-10-17,2020-11-16,30,Forest,Suburban,1,0.0333333333333333,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_20_25_2020,2020,32.65896,-85.48269,2020-10-13,2020-11-24,42,Forest,Suburban,1,0.0238095238095238,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_20_26_2020,2020,32.65877,-85.48349,2020-10-13,2020-11-24,42,Forest,Suburban,2,0.0476190476190476,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_20_27_2020,2020,32.65902,-85.48579,2020-10-13,2020-11-24,42,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_21_2019,2019,32.66153,-85.48549,2019-10-14,2019-11-06,23,Forest,Suburban,15,0.652173913043478,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_22_2019,2019,32.66104,-85.48479,2019-10-15,2019-11-04,20,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_23_2019,2019,32.66043,-85.48366,2019-10-17,2019-11-06,20,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_24_2019,2019,32.65973,-85.48338,2019-10-14,2019-11-06,23,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_25_2019,2019,32.65897,-85.4828,2019-10-14,2019-11-05,22,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_26_2019,2019,32.65876,-85.4836,2019-10-14,2019-11-06,23,Forest,Suburban,0,0,0.724748134613037
Fantle-Lepczyk,AL_Forest_Auburn_27_2019,2019,32.6596,-85.48561,2019-10-15,2019-11-06,22,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_2_2019,2019,32.66125,-85.48711,2019-10-12,2019-11-06,25,Forest,Suburban,3,0.12,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_3_2019,2019,32.66182,-85.48709,2019-10-14,2019-11-06,23,Forest,Suburban,1,0.0434782608695652,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_4_2019,2019,32.66249,-85.48768,2019-10-13,2019-11-06,24,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_5_2019,2019,32.66294,-85.48788,2019-10-13,2019-11-06,24,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_6_2019,2019,32.66269,-85.48874,2019-10-12,2019-11-06,25,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_7_2019,2019,32.66381,-85.48851,2019-10-12,2019-11-05,24,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Auburn_8_2019,2019,32.66496,-85.48828,2019-10-13,2019-11-04,22,Forest,Suburban,2,0.0909090909090909,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_Camera 2 10/03/2021_2021,2021,32.661727,-85.487035,2021-10-03,2021-12-01,59,Forest,Suburban,3,0.0508474576271186,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 1 10/03/2021_2021,2021,32.660299,-85.488132,2021-10-03,2021-12-04,62,Forest,Suburban,3,0.0483870967741935,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 10 10/04/2021_2021,2021,32.663625,-85.487013,2021-10-04,2021-12-02,59,Forest,Suburban,1,0.0169491525423729,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 11 10/03/2021_2021,2021,32.663064,-85.485452,2021-10-03,2021-12-02,60,Forest,Suburban,15,0.25,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 13 10/04/2021_2021,2021,32.661315,-85.482881,2021-10-04,2021-11-30,57,Forest,Suburban,1,0.0175438596491228,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 14 10/04/2021_2021,2021,32.661362,-85.484886,2021-10-04,2021-12-03,60,Forest,Suburban,3,0.05,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 15 10/04/2021_2021,2021,32.66012,-85.484011,2021-10-03,2021-11-28,56,Forest,Suburban,1,0.0178571428571429,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 16 10/04/2021_2021,2021,32.658775,-85.483102,2021-10-04,2021-12-04,61,Forest,Suburban,5,0.0819672131147541,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 17 10/04/2021_2021,2021,32.659196,-85.485161,2021-10-04,2021-12-03,60,Forest,Suburban,1,0.0166666666666667,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 18 10/04/2021_2021,2021,32.658775,-85.486891,2021-10-04,2021-12-04,61,Forest,Suburban,3,0.0491803278688525,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 3 10/03/2021_2021,2021,32.662641,-85.488635,2021-10-03,2021-12-04,62,Forest,Suburban,1,0.0161290322580645,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 4 10/03/2021_2021,2021,32.664343,-85.488724,2021-10-03,2021-12-03,61,Forest,Suburban,1,0.0163934426229508,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 5 10/03/2021_2021,2021,32.665209,-85.487386,2021-10-03,2021-12-01,59,Forest,Suburban,2,0.0338983050847458,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 6 10/03/2021_2021,2021,32.665422,-85.485108,2021-10-03,2021-12-04,62,Forest,Suburban,3,0.0483870967741935,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 7 10/03/2021_2021,2021,32.66524,-85.483126,2021-10-03,2021-11-21,49,Forest,Suburban,1,0.0204081632653061,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 8 10/03/2021_2021,2021,32.663324,-85.482693,2021-10-03,2021-12-04,62,Forest,Suburban,3,0.0483870967741935,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 10 09/24/2022_2022,2022,32.663881,-85.485938,2022-09-24,2022-11-29,66,Forest,Suburban,4,0.0606060606060606,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 11 09/24/2022_2022,2022,32.663264,-85.487305,2022-09-24,2022-11-28,65,Forest,Suburban,1,0.0153846153846154,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 13 09/24/2022_2022,2022,32.663167,-85.485476,2022-09-24,2022-11-29,66,Forest,Suburban,31,0.46969696969697,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 14_2022,2022,32.661299,-85.482634,2022-09-24,2022-11-26,63,Forest,Suburban,1,0.0158730158730159,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 15 09/24/2022_2022,2022,32.661405,-85.484777,2022-09-24,2022-11-29,66,Forest,Suburban,5,0.0757575757575758,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 18 09/24/2022_2022,2022,32.658829,-85.482904,2022-09-24,2022-11-29,66,Forest,Suburban,3,0.0454545454545455,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 19 09/26/2022_2022,2022,32.658674,-85.48705,2022-09-26,2022-11-29,64,Forest,Suburban,7,0.109375,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 1_2022,2022,32.660404,-85.487768,2022-09-24,2022-11-29,66,Forest,Suburban,3,0.0454545454545455,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 2_2022,2022,32.661711,-85.487082,2022-09-24,2022-11-17,54,Forest,Suburban,3,0.0555555555555556,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 3_2022,2022,32.662567,-85.488645,2022-09-24,2022-11-24,61,Forest,Suburban,1,0.0163934426229508,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 4_2022,2022,32.6591,-85.485154,2022-09-25,2022-11-30,66,Forest,Suburban,0,0,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 5_2022,2022,32.664085,-85.488356,2022-09-24,2022-11-29,66,Forest,Suburban,2,0.0303030303030303,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 6 09/24/2022_2022,2022,32.665141,-85.48748,2022-09-24,2022-11-29,66,Forest,Suburban,1,0.0151515151515152,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 7 09/24/2022_2022,2022,32.66518,-85.485223,2022-09-24,2022-11-29,66,Forest,Suburban,1,0.0151515151515152,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 8 09/24/2022_2022,2022,32.665178,-85.483187,2022-09-24,2022-11-27,64,Forest,Suburban,1,0.015625,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 10_2023,2023,32.663945,-85.48581,2023-09-28,2023-11-20,53,Forest,Suburban,1,0.0188679245283019,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 11_2023,2023,32.662912,-85.48538,2023-09-28,2023-11-22,55,Forest,Suburban,36,0.654545454545455,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 12_2023,2023,32.661455,-85.482709,2023-10-01,2023-11-22,52,Forest,Suburban,1,0.0192307692307692,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 13_2023,2023,32.661407,-85.484875,2023-10-01,2023-11-18,48,Forest,Suburban,1,0.0208333333333333,0.700608432292938
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 14_2023,2023,32.660357,-85.483378,2023-10-01,2023-11-22,52,Forest,Suburban,5,0.0961538461538462,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 15_2023,2023,32.658771,-85.48296,2023-10-01,2023-11-20,50,Forest,Suburban,1,0.02,0.724748134613037
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_23_Site 16_2023,2023,32.659216,-85.485362,2023-10-01,2023-11-22,52,Forest,Suburban,3,0.0576923076923077,0.700608432292938
