Project,Camera_Trap_Array,Site_Name,Deployment_ID,Date_Out,Date_Retrieved,First_Detection,Survey_Days,Latitude,Longitude,Time_Zone,Habitat,Feature_Water,Feature_Road,Feature_Human_Trail,Feature_Human_Structure,Feature_Log_Rock_Outcrop,Vegetation_Ground_Cover,Vegetation_Understory,Vegetation_Canopy,Camera_Height,Resticted_Field,Obstructed_view,Wide
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_5,d57139,9/13/19,10/22/19,9/13/19,39,36.06684,-94.23191,CST,grassland,0,0,0,0,0,high,medium,low,0,0,1,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_6,d57140,9/13/19,10/29/19,9/13/19,46,36.06537,-94.23211,CST,grassland,0,0,0,0,0,high,low,low,0,0,0,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_7,d57141,9/13/19,10/29/19,9/13/19,46,36.06504,-94.23568,CST,grassland,0,0,0,0,1,high,low,0,1,0,0,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_8,d57142,9/13/19,10/29/19,9/13/19,46,36.06489,-94.23813,CST,grassland,0,0,0,0,0,medium,high,low,1,0,0,0
Snapshot USA - 2019,AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_9,d57143,9/13/19,10/29/19,9/13/19,46,36.06697,-94.23611,CST,grassland,0,0,0,0,0,high,high,0,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_1,d58982,8/26/19,10/21/19,8/26/19,56,33.74051,-111.8153,MST,desert,0,0,0,0,0,low,low,0,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_10,d58991,8/26/19,10/21/19,8/26/19,56,33.74075,-111.80756,MST,desert,0,0,0,0,0,medium,low,0,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_3,d58984,8/26/19,10/21/19,8/26/19,56,33.73351,-111.80827,MST,desert,0,0,0,0,0,low,low,low,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_4,d58985,8/26/19,10/21/19,8/26/19,56,33.7192,-111.81408,MST,desert,0,0,0,0,0,low,low,low,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_5,d58986,8/26/19,10/21/19,8/26/19,56,33.71981,-111.80666,MST,desert,0,0,0,0,0,low,low,low,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_6,d58987,8/27/19,10/21/19,9/30/19,55,33.71222,-111.78917,MST,desert,0,0,0,0,0,low,low,low,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_7B,d64624,8/27/19,10/21/19,9/3/19,55,33.69861,-111.79361,MST,desert,0,0,0,0,0,low,medium,low,1,0,0,0
Snapshot USA - 2019,AZ_Desert_McDowell_Sonoran_Preserve,AZ_Desert_McDowell_Sonoran_Preserve_8,d58989,8/27/19,10/21/19,8/27/19,55,33.69278,-111.79083,MST,desert,0,0,0,0,0,medium,medium,low,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_1,d63080,9/5/19,11/24/19,9/5/19,80,32.16413,-109.471,MST,grassland,0,0,0,0,0,high,low,0,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_10,d63089,9/5/19,11/19/19,9/5/19,75,32.16065,-109.497,MST,desert,0,0,0,0,0,0,low,0,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_16,d63095,9/4/19,11/24/19,9/4/19,81,32.171217,-109.515533,MST,grassland,0,0,0,0,0,0,0,0,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_17,d63096,9/14/19,11/24/19,9/14/19,71,32.180767,-109.517283,MST,grassland,0,0,0,0,0,0,0,0,2,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_22,d63101,9/7/19,11/18/19,9/7/19,72,32.16578,-109.51025,MST,forest,0,1,1,0,0,0,low,0,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_25,d63104,8/17/19,9/14/19,8/17/19,28,32.15255,-109.5337,MST,grassland,1,0,0,0,0,medium,0,0,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Cienega,AZ_Grassland_Cienega_29,d63108,9/7/19,11/18/19,9/7/19,72,32.180233,-109.475633,MST,desert,0,0,0,0,1,0,0,0,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_11,d63190,8/24/19,10/14/19,8/24/19,51,35.28934,-111.709,MST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_12,d63191,8/25/19,10/11/19,8/26/19,47,35.28113,-111.709,MST,grassland,0,0,0,0,0,low,medium,low,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_13,d63192,8/23/19,10/14/19,8/23/19,52,35.27785,-111.7,MST,forest,0,0,0,0,0,medium,low,high,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_14,d63193,8/23/19,10/12/19,8/23/19,50,35.33744,-111.717,MST,forest,0,0,0,0,0,high,low,medium,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_7,d63186,8/23/19,10/12/19,8/23/19,50,35.35103,-111.718,MST,forest,0,0,0,0,0,medium,low,high,1,0,0,0
Snapshot USA - 2019,AZ_Grassland_Vermilion_Cliffs,AZ_Grassland_Vermilion_Cliffs_8,d63187,8/23/19,10/13/19,8/23/19,51,35.36407,-111.717,MST,forest,0,0,0,0,0,high,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_1,d57335,9/7/19,9/29/19,9/1/19,22,41.30322,-124.01091,PST,forest,0,0,0,0,0,low,medium,high,1,1,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_10,d57344,9/7/19,9/29/19,9/21/19,22,41.28632,-124.0065,PST,forest,0,0,0,0,1,medium,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_11,d57345,9/5/19,10/20/19,9/5/19,45,41.27639,-124.00436,PST,forest,0,0,0,0,1,low,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_12,d57346,9/1/19,10/20/19,9/1/19,49,41.30415,-124.01818,PST,forest,0,0,0,0,0,medium,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_13,d57347,9/1/19,10/20/19,9/1/19,49,41.3026,-124.01615,PST,forest,0,0,0,0,0,low,medium,high,2,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_14,d57348,9/1/19,9/21/19,9/1/19,20,41.30504,-124.01562,PST,forest,0,0,0,0,0,low,medium,high,0,0,1,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_16,d57350,9/21/19,10/20/19,9/21/19,29,41.3058,-124.01984,PST,forest,0,0,0,0,0,low,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_17,d57351,9/21/19,10/20/19,9/21/19,29,41.30658,-124.02187,PST,forest,0,0,0,0,0,low,medium,high,1,0,1,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_18,d57352,9/21/19,10/20/19,9/21/19,29,41.30835,-124.02464,PST,forest,0,0,0,0,0,medium,high,high,1,0,1,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_2,d57336,9/1/19,9/21/19,9/1/19,20,41.30433,-124.01348,PST,forest,0,0,0,0,0,medium,medium,medium,1,0,1,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_3,d57337,9/1/19,9/21/19,9/1/19,20,41.30166,-124.01341,PST,forest,0,0,0,0,0,low,medium,high,1,0,1,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_4,d57338,9/1/19,9/21/19,9/1/19,20,41.30047,-124.01103,PST,forest,0,0,0,0,1,high,low,high,1,0,0,0
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_5,d57339,9/5/19,10/20/19,9/5/19,45,41.2844,-124.00714,PST,forest,0,0,0,0,0,low,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_6,d57340,9/5/19,10/12/19,9/5/19,37,41.2827,-124.00808,PST,forest,0,0,0,0,0,low,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Humboldt,CA_Forest_Humboldt_7,d57341,9/5/19,10/20/19,9/5/19,45,41.2848,-124.00429,PST,forest,0,0,0,0,1,low,medium,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_1,d58386,9/2/19,10/9/19,9/2/19,37,38.58762,-122.72356,PST,forest,1,0,0,0,0,low,low,high,1,0,0,1
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_10,d58395,9/1/19,9/16/19,9/1/19,15,38.59622,-122.71297,PST,forest,0,0,0,0,0,low,medium,medium,1,0,0,1
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_11,d58396,9/4/19,9/16/19,9/1/19,12,38.60502,-122.70084,PST,forest,0,0,0,0,0,low,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_12,d58397,9/16/19,10/22/19,9/16/19,36,38.60535,-122.72408,PST,forest,0,0,0,0,0,low,low,medium,1,0,0,1
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_13,d58398,9/1/19,10/22/19,9/1/19,51,38.60513,-122.71257,PST,forest,0,0,0,0,1,low,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_2,d58387,8/31/19,10/9/19,9/1/19,39,38.58716,-122.70148,PST,forest,0,0,0,0,0,high,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_3,d58388,9/1/19,10/9/19,9/1/19,38,38.58714,-122.68969,PST,forest,0,0,0,0,0,high,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_5,d58390,9/1/19,10/9/19,9/1/19,38,38.57804,-122.68997,PST,forest,0,0,0,0,1,low,medium,high,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_6,d58391,9/1/19,10/11/19,9/2/19,40,38.56842,-122.7361,PST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_7,d58392,8/31/19,10/11/19,9/1/19,41,38.59623,-122.72451,PST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_8,d58393,8/31/19,9/20/19,9/1/19,20,38.5966,-122.73527,PST,forest,0,0,0,0,0,low,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Pepperwood_Preserve,CA_Forest_Pepperwood_Preserve_9,d58394,8/31/19,10/11/19,9/1/19,41,38.56914,-122.72416,PST,forest,0,0,0,0,1,low,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_1,d56835,8/31/19,9/17/19,8/31/19,17,37.36991,-119.67375,PST,forest,0,0,0,0,0,high,low,medium,1,0,0,1
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_10,d56844,9/28/19,10/26/19,9/28/19,28,37.37062,-119.68237,PST,forest,0,0,0,0,0,high,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_11,d56845,8/31/19,10/26/19,8/31/19,56,37.363,-119.69463,PST,forest,0,0,0,0,0,low,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_2,d56836,8/31/19,9/27/19,8/31/19,27,37.36519,-119.69414,PST,grassland,0,0,0,0,1,high,low,0,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_3,d56837,8/31/19,10/26/19,8/31/19,56,37.36256,-119.69152,PST,forest,0,0,0,0,0,high,high,high,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_4,d56838,8/31/19,10/26/19,8/31/19,56,37.36192,-119.68836,PST,forest,0,0,0,0,0,medium,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_5,d56839,9/1/19,10/26/19,9/1/19,55,37.36185,-119.68449,PST,grassland,1,1,0,1,0,high,low,low,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_6,d56840,8/31/19,10/26/19,8/31/19,56,37.36478,-119.68007,PST,forest,0,0,0,0,0,high,high,medium,1,0,0,1
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_7,d56841,8/31/19,10/26/19,8/31/19,56,37.36906,-119.67689,PST,forest,0,0,0,0,0,medium,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_8,d56842,8/31/19,10/26/19,8/31/19,56,37.36697,-119.6736,PST,forest,0,0,0,0,1,high,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Forest_Sierra Nevada,CA_Forest_Sierra Nevada_9,d56843,8/31/19,10/26/19,8/31/19,56,37.36815,-119.67053,PST,forest,0,0,0,0,1,low,medium,high,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_10,d59871,9/2/19,10/30/19,9/2/19,58,36.86104,-119.84094,PST,riparian,0,1,0,0,0,medium,medium,low,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_11,d59872,9/2/19,10/30/19,9/2/19,58,36.8603,-119.84312,PST,forest,0,0,0,0,1,high,low,medium,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_12,d59873,9/2/19,10/30/19,9/2/19,58,36.860393,-119.846157,PST,forest,0,0,0,0,0,low,low,high,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_13,d59874,9/17/19,10/18/19,9/17/19,31,36.85321,-119.85199,PST,riparian,0,0,0,0,0,medium,high,low,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_14,d59875,9/17/19,10/18/19,9/17/19,31,36.85285,-119.85772,PST,riparian,0,0,0,0,0,low,medium,low,1,0,0,1
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_15,d59876,9/2/19,10/30/19,9/2/19,58,36.8584,-119.84207,PST,riparian,1,0,0,0,0,high,low,low,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_16,d59877,10/3/19,10/30/19,10/3/19,27,36.85683,-119.84547,PST,anthropogenic,0,1,0,1,0,high,low,low,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_17,d59878,10/3/19,10/30/19,10/3/19,27,36.85886,-119.84505,PST,forest,0,0,0,0,0,low,low,high,1,0,0,1
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_8,d59869,9/16/19,10/30/19,9/16/19,44,36.85711,-119.839,PST,forest,0,1,0,0,0,medium,medium,medium,1,0,0,0
Snapshot USA - 2019,CA_Riparian_San_Joaquin,CA_Riparian_San_Joaquin_9,d59870,9/2/19,10/30/19,9/2/19,58,36.85904,-119.83969,PST,forest,0,0,0,0,0,low,medium,low,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_10,d58941,9/5/19,11/3/19,9/5/19,59,39.00763,-104.8991,MST,forest,0,0,0,0,0,low,low,high,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_11,d58942,9/5/19,11/6/19,9/5/19,62,38.98338,-104.85388,MST,forest,0,0,0,0,0,medium,medium,medium,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_12,d58943,9/5/19,11/6/19,9/5/19,62,38.98335,-104.85142,MST,forest,0,0,0,0,0,high,medium,low,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_13,d58944,9/5/19,11/6/19,9/5/19,62,38.9838,-104.84843,MST,forest,0,0,0,0,0,high,medium,medium,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_14,d58945,9/5/19,11/6/19,9/5/19,62,38.9845,-104.84615,MST,forest,0,0,0,0,0,high,low,medium,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_15,d58946,9/6/19,9/25/19,9/6/19,19,39.00108,-104.9041,MST,forest,0,0,0,0,0,medium,medium,medium,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_16,d58947,9/6/19,10/3/19,9/6/19,27,38.9994,-104.90567,MST,forest,0,0,0,0,1,medium,low,low,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_17B,d64505,9/27/19,11/6/19,9/27/19,40,39.01517,-104.85232,MST,forest,0,0,0,0,0,medium,low,medium,1,0,0,1
Snapshot USA - 2019,CO_GrasslandOak_USAFA,CO_GrasslandOak_USAFA_18,d58949,9/27/19,11/6/19,9/27/19,40,39.01088,-104.85245,MST,forest,0,0,0,0,0,medium,low,medium,1,0,0,1
