Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Days,Humans_Per_Camera_Per_Day
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_05_2020,2020,59.41194,-136.15142,2020-08-26,2020-10-24,59.4,0.0168350168350168
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_06_2020,2020,59.41492,-136.07539,2020-08-27,2020-11-05,70,0.0142857142857143
AK_Forest_Chilkat_Preserve_20,AK_Forest_Chilkat_Preserve_20_08_2020,2020,59.41423,-136.06423,2020-08-27,2020-11-05,70,0.0428571428571429
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_2_2019,2019,59.39905,-135.9288,2019-08-29,2019-11-04,67,0.0447761194029851
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_3_2019,2019,59.3802,-135.84097,2019-08-29,2019-11-03,66,0.0909090909090909
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_4_2019,2019,59.42641,-136.30461,2019-08-27,2019-11-03,68,0.102941176470588
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_5_2019,2019,59.41195,-136.15141,2019-08-27,2019-11-03,68,0.0441176470588235
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_6_2019,2019,59.41492,-136.0754,2019-08-16,2019-11-03,79,0.0126582278481013
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_7_2019,2019,59.41505,-136.0691,2019-08-30,2019-11-02,64,0.03125
AK_Forest_Chilkat_Preserve,AK_Forest_Chilkat_Preserve_8_2019,2019,59.41423,-136.06422,2019-08-30,2019-11-03,65,0.0307692307692308
Crupi,AK_Forest_Crupi_21_dep_01 08/30/2021_2021,2021,59.42643109,-136.2225117,2021-08-30,2021-12-15,107,0.0186915887850467
Crupi,AK_Forest_Crupi_21_dep_02 09/01/2021_2021,2021,59.39466,-135.87256,2021-09-01,2021-12-16,106,0.0188679245283019
Crupi,AK_Forest_Crupi_21_dep_03 09/01/2021_2021,2021,59.39905304,-135.9288107,2021-09-01,2021-12-16,106,0.0188679245283019
Crupi,AK_Forest_Crupi_21_dep_05 08/30/2021_2021,2021,59.41491635,-136.0753879,2021-08-30,2021-12-15,107,0.0186915887850467
Crupi,AK_Forest_Crupi_21_dep_06 08/30/2021_2021,2021,59.41505398,-136.0691137,2021-08-30,2021-12-15,107,0.0373831775700935
Crupi,AK_Forest_Crupi_21_dep_07 08/31/2021_2021,2021,59.41422998,-136.0642317,2021-08-31,2021-12-15,106,0.0283018867924528
Crupi,AK_Forest_Crupi_21_dep_08 08/30/2021_2021,2021,59.403024,-136.145609,2021-08-30,2021-10-12,43,0.0465116279069767
Crupi,AK_Forest_Crupi_21_dep_09 08/24/2021_2021,2021,59.358192,-135.955056,2021-08-24,2021-10-11,48,0.0416666666666667
Crupi,AK_Forest_Crupi_21_dep_10 08/24/2021_2021,2021,59.452635,-136.20086,2021-08-24,2021-10-10,47,0.0425531914893617
Crupi,AK_Forest_Crupi_22_loc02 08/09/2022_2022,2022,59.4264,-136.2225,2022-08-09,2022-11-04,87,0
Crupi,AK_Forest_Crupi_22_loc04 07/08/2022_2022,2022,59.4264,-136.3046,2022-08-01,2022-10-09,69,0.0144927536231884
Crupi,AK_Forest_Crupi_22_loc05_2022,2022,59.4149,-136.0754,2022-08-30,2022-11-05,67,0.0298507462686567
Crupi,AK_Forest_Crupi_dep_02 09/01/2022_2022,2022,59.3947,-135.8726,2022-09-01,2022-11-05,65,0.0769230769230769
Crupi,AK_Forest_Crupi_dep_03_2022,2022,59.3991,-135.9288,2022-08-01,2022-11-05,96,0.0208333333333333
Crupi,AK_Forest_Crupi_loc_06_2022,2022,59.4151,-136.0691,2022-08-30,2022-11-04,66,0.0606060606060606
Crupi,AK_Forest_Crupi_loc_07 08/30/2022_2022,2022,59.4142,-136.0642,2022-08-30,2022-11-04,66,0.0303030303030303
Crupi,AK_Forest_Crupi_loc_08 07/08/2022_2022,2022,59.403,-136.1456,2022-08-01,2022-10-09,69,0.0144927536231884
Crupi,AK_Forest_Crupi_loc_09 08/27/2022_2022,2022,59.3582,-135.9551,2022-08-27,2022-10-09,43,0.0465116279069767
Crupi,AK_Forest_Crupi_loc_10 08/26/2022_2022,2022,59.4526,-135.2009,2022-08-26,2022-10-09,44,0.0454545454545455
Crupi,AK_Forest_Crupi_loc_11 07/08/2022_2022,2022,59.4428,-136.3883,2022-08-01,2022-10-09,69,0.0144927536231884
AL_Forest_Auburn,AL_Forest_Auburn_10_2019,2019,32.66487,-85.48588,2019-10-13,2019-11-06,24,3.625
AL_Forest_Auburn,AL_Forest_Auburn_12_2019,2019,32.6644,-85.48485,2019-10-13,2019-11-02,20,0
AL_Forest_Auburn,AL_Forest_Auburn_13_2019,2019,32.66379,-85.48567,2019-10-13,2019-11-06,24,0.0416666666666667
AL_Forest_Auburn,AL_Forest_Auburn_14_2019,2019,32.66455,-85.4863,2019-10-13,2019-11-06,24,0.125
AL_Forest_Auburn,AL_Forest_Auburn_15_2019,2019,32.66385,-85.48677,2019-10-13,2019-11-06,24,0
AL_Forest_Auburn,AL_Forest_Auburn_16_2019,2019,32.66366,-85.48525,2019-10-13,2019-11-06,24,3.95833333333333
AL_Forest_Auburn,AL_Forest_Auburn_17_2019,2019,32.66363,-85.48324,2019-10-13,2019-11-06,24,0
AL_Forest_Auburn,AL_Forest_Auburn_18_2019,2019,32.66131,-85.48274,2019-10-13,2019-11-06,24,0
AL_Forest_Auburn,AL_Forest_Auburn_19_2019,2019,32.66335,-85.48654,2019-10-14,2019-11-04,21,4.19047619047619
AL_Forest_Auburn,AL_Forest_Auburn_1_2019,2019,32.66049,-85.4881,2019-10-12,2019-11-06,25,6.4
AL_Forest_Auburn_20,AL_Forest_Auburn_20_02_2020,2020,32.6612,-85.48712,2020-10-11,2020-11-25,45,0.0666666666666667
AL_Forest_Auburn_20,AL_Forest_Auburn_20_04_2020,2020,32.66264,-85.48766,2020-10-11,2020-11-22,42,0.0952380952380952
AL_Forest_Auburn_20,AL_Forest_Auburn_20_05_2020,2020,32.66302,-85.48793,2020-10-11,2020-11-24,44,0.0454545454545455
AL_Forest_Auburn_20,AL_Forest_Auburn_20_07_2020,2020,32.66389,-85.48844,2020-10-11,2020-11-25,45,0.0222222222222222
AL_Forest_Auburn_20,AL_Forest_Auburn_20_14_2020,2020,32.66447,-85.48639,2020-10-12,2020-11-25,44,0.0227272727272727
AL_Forest_Auburn_20,AL_Forest_Auburn_20_15_2020,2020,32.66437,-85.48717,2020-10-13,2020-11-24,42,0.0714285714285714
AL_Forest_Auburn_20,AL_Forest_Auburn_20_16_2020,2020,32.65922,-85.48719,2020-10-13,2020-11-25,43,0
AL_Forest_Auburn_20,AL_Forest_Auburn_20_17_2020,2020,32.66358,-85.48308,2020-10-13,2020-11-25,43,0.0232558139534884
AL_Forest_Auburn_20,AL_Forest_Auburn_20_18_2020,2020,32.66138,-85.48267,2020-10-13,2020-11-25,43,0.0697674418604651
AL_Forest_Auburn_20,AL_Forest_Auburn_20_19_2020,2020,32.66363,-85.4863,2020-10-13,2020-10-26,13,0.0769230769230769
AL_Forest_Auburn,AL_Forest_Auburn_20_2019,2019,32.66298,-85.48557,2019-10-14,2019-11-06,23,0
AL_Forest_Auburn_20,AL_Forest_Auburn_20_24_2020,2020,32.65977,-85.48338,2020-10-17,2020-11-16,30,0.0333333333333333
AL_Forest_Auburn_20,AL_Forest_Auburn_20_25_2020,2020,32.65896,-85.48269,2020-10-13,2020-11-24,42,0.0238095238095238
AL_Forest_Auburn_20,AL_Forest_Auburn_20_26_2020,2020,32.65877,-85.48349,2020-10-13,2020-11-24,42,0.0476190476190476
AL_Forest_Auburn_20,AL_Forest_Auburn_20_27_2020,2020,32.65902,-85.48579,2020-10-13,2020-11-24,42,0
AL_Forest_Auburn,AL_Forest_Auburn_21_2019,2019,32.66153,-85.48549,2019-10-14,2019-11-06,23,0.652173913043478
AL_Forest_Auburn,AL_Forest_Auburn_22_2019,2019,32.66104,-85.48479,2019-10-14,2019-11-06,23,0
AL_Forest_Auburn,AL_Forest_Auburn_23_2019,2019,32.66043,-85.48366,2019-10-14,2019-11-06,23,0
AL_Forest_Auburn,AL_Forest_Auburn_24_2019,2019,32.65973,-85.48338,2019-10-14,2019-11-06,23,0
AL_Forest_Auburn,AL_Forest_Auburn_25_2019,2019,32.65897,-85.4828,2019-10-14,2019-11-05,22,0
AL_Forest_Auburn,AL_Forest_Auburn_26_2019,2019,32.65876,-85.4836,2019-10-14,2019-11-06,23,0
AL_Forest_Auburn,AL_Forest_Auburn_27_2019,2019,32.6596,-85.48561,2019-10-14,2019-11-06,23,0
AL_Forest_Auburn,AL_Forest_Auburn_2_2019,2019,32.66125,-85.48711,2019-10-12,2019-11-06,25,0.12
AL_Forest_Auburn,AL_Forest_Auburn_3_2019,2019,32.66182,-85.48709,2019-10-12,2019-11-06,25,0.04
AL_Forest_Auburn,AL_Forest_Auburn_4_2019,2019,32.66249,-85.48768,2019-10-12,2019-11-06,25,0
AL_Forest_Auburn,AL_Forest_Auburn_5_2019,2019,32.66294,-85.48788,2019-10-12,2019-11-06,25,0
AL_Forest_Auburn,AL_Forest_Auburn_6_2019,2019,32.66269,-85.48874,2019-10-12,2019-11-06,25,0
AL_Forest_Auburn,AL_Forest_Auburn_7_2019,2019,32.66381,-85.48851,2019-10-12,2019-11-06,25,0
AL_Forest_Auburn,AL_Forest_Auburn_8_2019,2019,32.66496,-85.48828,2019-10-12,2019-11-06,25,0.08
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_Camera 2 10/03/2021_2021,2021,32.661727,-85.487035,2021-10-03,2021-12-04,62,0.0483870967741935
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 1 10/03/2021_2021,2021,32.660299,-85.488132,2021-10-03,2021-12-04,62,0.0483870967741935
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 10 10/04/2021_2021,2021,32.663625,-85.487013,2021-10-04,2021-12-04,61,0.0163934426229508
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 11 10/03/2021_2021,2021,32.663064,-85.485452,2021-10-03,2021-12-04,62,0.241935483870968
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 13 10/04/2021_2021,2021,32.661315,-85.482881,2021-10-04,2021-12-04,61,0.0163934426229508
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 14 10/04/2021_2021,2021,32.661362,-85.484886,2021-10-04,2021-12-04,61,0.0491803278688525
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 15 10/04/2021_2021,2021,32.66012,-85.484011,2021-10-03,2021-12-04,62,0.0161290322580645
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 16 10/04/2021_2021,2021,32.658775,-85.483102,2021-10-04,2021-12-04,61,0.0819672131147541
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 17 10/04/2021_2021,2021,32.659196,-85.485161,2021-10-04,2021-12-04,61,0.0163934426229508
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 18 10/04/2021_2021,2021,32.658775,-85.486891,2021-10-04,2021-12-04,61,0.0491803278688525
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 3 10/03/2021_2021,2021,32.662641,-85.488635,2021-10-03,2021-12-04,62,0.0161290322580645
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 4 10/03/2021_2021,2021,32.664343,-85.488724,2021-10-03,2021-12-04,62,0.0161290322580645
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 5 10/03/2021_2021,2021,32.665209,-85.487386,2021-10-03,2021-12-04,62,0.032258064516129
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 6 10/03/2021_2021,2021,32.665422,-85.485108,2021-10-03,2021-12-04,62,0.0483870967741935
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 7 10/03/2021_2021,2021,32.66524,-85.483126,2021-10-03,2021-12-04,62,0.0161290322580645
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_21_camera 8 10/03/2021_2021,2021,32.663324,-85.482693,2021-10-03,2021-12-04,62,0.0483870967741935
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 10 09/24/2022_2022,2022,32.6639,-85.4859,2022-09-24,2022-11-29,66,0.0606060606060606
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 11 09/24/2022_2022,2022,32.6633,-85.4873,2022-09-24,2022-11-29,66,0.0151515151515152
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 13 09/24/2022_2022,2022,32.6632,-85.4855,2022-09-24,2022-11-29,66,0.46969696969697
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 14_2022,2022,32.6613,-85.4826,2022-09-24,2022-11-29,66,0.0151515151515152
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 15 09/24/2022_2022,2022,32.6614,-85.4848,2022-09-24,2022-11-29,66,0.0757575757575758
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 18 09/24/2022_2022,2022,32.6588,-85.4829,2022-09-24,2022-11-29,66,0.0454545454545455
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 19 09/26/2022_2022,2022,32.6587,-85.4871,2022-09-26,2022-11-29,64,0.109375
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 1_2022,2022,32.6604,-85.4878,2022-09-24,2022-11-29,66,0.0454545454545455
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 2_2022,2022,32.6617,-85.4871,2022-09-24,2022-11-29,66,0.0454545454545455
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 3_2022,2022,32.6626,-85.4886,2022-09-24,2022-11-29,66,0.0151515151515152
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 4_2022,2022,32.6591,-85.4852,2022-09-24,2022-11-29,66,0
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 5_2022,2022,32.6641,-85.4884,2022-09-24,2022-11-29,66,0.0303030303030303
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 6 09/24/2022_2022,2022,32.6651,-85.4875,2022-09-24,2022-11-29,66,0.0151515151515152
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 7 09/24/2022_2022,2022,32.6652,-85.4852,2022-09-24,2022-11-29,66,0.0151515151515152
Fantle-Lepczyk,AL_Forest_Fantle-Lepczyk_22_camera 8 09/24/2022_2022,2022,32.6652,-85.4832,2022-09-24,2022-11-29,66,0.0151515151515152
DeGregorio,AR_Forest_DeGregorio_21_dep_02_2021,2021,36.25343,-93.70936,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_03_2021,2021,36.2543,-93.70441,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_04_2021,2021,36.25358,-93.7055,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_05_2021,2021,36.25434,-93.70083,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_06_2021,2021,36.25188,-93.69858,2021-09-21,2021-10-29,38,0.0263157894736842
DeGregorio,AR_Forest_DeGregorio_21_dep_07_2021,2021,36.25423,-93.69842,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_08_2021,2021,36.25513,-93.70244,2021-09-21,2021-10-29,38,0.0789473684210526
DeGregorio,AR_Forest_DeGregorio_21_dep_09_2021,2021,36.25794,-93.70019,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_10_2021,2021,36.25538,-93.70875,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_11_2021,2021,36.25712,-93.70729,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_21_dep_12_2021,2021,36.25741,-93.70604,2021-09-21,2021-10-29,38,0.0263157894736842
DeGregorio,AR_Forest_DeGregorio_21_dep_13_2021,2021,36.25915,-93.70463,2021-09-21,2021-10-29,38,0.0526315789473684
DeGregorio,AR_Forest_DeGregorio_22_10_2022,2022,36.256,-93.6991,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_11_2022,2022,36.256100000000004,-93.7076,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_12_2022,2022,36.2575,-93.7068,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_13_2022,2022,36.2582,-93.705,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_14_2022,2022,36.2596,-93.7043,2022-09-16,2022-10-16,30,0.0666666666666667
DeGregorio,AR_Forest_DeGregorio_22_15_2022,2022,36.2603,-93.7018,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_1_2022,2022,36.2549,-93.704,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_2_2022,2022,36.2551,-93.7057,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_3_2022,2022,36.2534,-93.7094,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_4_2022,2022,36.253,-93.7064,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_5_2022,2022,36.2527,-93.7045,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_6_2022,2022,36.2538,-93.7007,2022-09-16,2022-10-31,45,0
DeGregorio,AR_Forest_DeGregorio_22_7_2022,2022,36.2512,-93.7003,2022-09-16,2022-10-31,45,0.0444444444444444
DeGregorio,AR_Forest_DeGregorio_22_8_2022,2022,36.2516,-93.6978,2022-09-16,2022-10-17,31,0.032258064516129
DeGregorio,AR_Forest_DeGregorio_22_9_2022,2022,36.2533,-93.6991,2022-09-16,2022-10-31,45,0.0444444444444444
Johans,AR_Forest_Johans_22_1.2_2022,2022,35.9988,-94.249,2022-10-06,2022-11-13,38,0.0263157894736842
Johans,AR_Forest_Johans_22_10_2022,2022,35.9995,-94.2463,2022-09-01,2022-10-06,35,0.0285714285714286
Johans,AR_Forest_Johans_22_12 09/01/2022_2022,2022,35.9991,-94.2503,2022-09-01,2022-10-06,35,0
Johans,AR_Forest_Johans_22_12.2_2022,2022,35.9991,-94.2503,2022-10-06,2022-11-13,38,0
Johans,AR_Forest_Johans_22_13.2_2022,2022,35.9982,-94.2501,2022-10-06,2022-11-13,38,0.0263157894736842
Johans,AR_Forest_Johans_22_13_2022,2022,35.9982,-94.2501,2022-09-01,2022-10-06,35,0.0285714285714286
Johans,AR_Forest_Johans_22_14 09/01/2022_2022,2022,35.9973,-94.2503,2022-09-01,2022-10-06,35,0.0571428571428571
Johans,AR_Forest_Johans_22_14.2_2022,2022,35.9973,-94.2503,2022-10-06,2022-11-13,38,0.157894736842105
Johans,AR_Forest_Johans_22_1_2022,2022,35.9988,-94.249,2022-09-01,2022-10-06,35,0.0285714285714286
Johans,AR_Forest_Johans_22_2 10/06/2022_2022,2022,35.9985,-94.2478,2022-10-06,2022-11-13,38,0.447368421052632
Johans,AR_Forest_Johans_22_3.2_2022,2022,35.9987,-94.2463,2022-10-06,2022-11-13,38,0.0526315789473684
Johans,AR_Forest_Johans_22_3_2022,2022,35.9987,-94.2463,2022-09-01,2022-10-06,35,0.0285714285714286
Johans,AR_Forest_Johans_22_4.2_2022,2022,35.9973,-94.2466,2022-10-06,2022-11-13,38,0
Johans,AR_Forest_Johans_22_4_2022,2022,35.9973,-94.2466,2022-09-01,2022-10-06,35,0.0285714285714286
Johans,AR_Forest_Johans_22_5.2_2022,2022,35.9967,-94.2467,2022-10-06,2022-11-13,38,0.0526315789473684
Johans,AR_Forest_Johans_22_5_2022,2022,35.9967,-94.2467,2022-09-01,2022-10-06,35,0.0857142857142857
Johans,AR_Forest_Johans_22_6 09/01/2022_2022,2022,35.9956,-94.2465,2022-09-01,2022-10-06,35,0.0285714285714286
Johans,AR_Forest_Johans_22_6.2_2022,2022,35.9956,-94.2465,2022-10-06,2022-11-13,38,0.0263157894736842
Johans,AR_Forest_Johans_22_7 09/01/2022_2022,2022,35.9967,-94.2457,2022-09-01,2022-11-13,73,0.0136986301369863
Johans,AR_Forest_Johans_22_7.2_2022,2022,35.9967,-94.2457,2022-10-06,2022-11-13,38,0.0526315789473684
Johans,AR_Forest_Johans_22_8.2_2022,2022,35.9978,-94.2452,2022-10-06,2022-11-13,38,0.0263157894736842
Johans,AR_Forest_Johans_22_8_2022,2022,35.9978,-94.2452,2022-09-01,2022-11-13,73,0.0136986301369863
Johans,AR_Forest_Johans_22_9_2022,2022,35.999,-94.2446,2022-09-01,2022-10-06,35,0.0285714285714286
Tigue,AR_Forest_Tigue_Cam 15 09/02/2022_2022,2022,34.389,-93.8946,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_Ouachita1 09/02/2022_2022,2022,34.3902,-93.8971,2022-09-02,2022-10-31,59,0.0169491525423729
Tigue,AR_Forest_Tigue_OuachitaCam30_2022,2022,34.3584,-93.9051,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam34_2022,2022,34.369,-93.9076,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam36_2022,2022,34.3764,-93.918,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam45_2022,2022,34.3561,-93.9056,2022-09-02,2022-10-31,59,0.0508474576271186
Tigue,AR_Forest_Tigue_OuachitaCam49_2022,2022,34.3755,-93.9368,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam5_2022,2022,34.3881,-93.8901,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam67_2022,2022,34.37,-93.9117,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam71_2022,2022,34.3846,-93.8847,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam73_2022,2022,34.3725,-93.9214,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam74_2022,2022,34.3775,-93.9508,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam82_2022,2022,34.3598,-93.9036,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_OuachitaCam85_2022,2022,34.3861,-93.8891,2022-09-02,2022-10-31,59,0.0338983050847458
Tigue,AR_Forest_Tigue_ouachitaCam21_2022,2022,34.3538,-93.9043,2022-09-02,2022-10-31,59,0.0847457627118644
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_10_2019,2019,36.06722,-94.23393,2019-09-13,2019-10-29,46,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_11_2019,2019,36.06946,-94.2387,2019-09-13,2019-09-21,8,0.625
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_12_2019,2019,36.06951,-94.23688,2019-09-13,2019-10-29,46,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_1_2019,2019,36.06512,-94.23357,2019-09-13,2019-10-28,45,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_3_2019,2019,36.06882,-94.23449,2019-09-13,2019-10-29,46,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_5_2019,2019,36.06684,-94.23191,2019-09-13,2019-10-22,39,0.102564102564103
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_6_2019,2019,36.06537,-94.23211,2019-09-13,2019-10-29,46,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_7_2019,2019,36.06504,-94.23568,2019-09-13,2019-10-29,46,0
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_8_2019,2019,36.06489,-94.23813,2019-09-13,2019-10-29,46,0.108695652173913
AR_Grassland_Fayetteville,AR_Grassland_Fayetteville_9_2019,2019,36.06697,-94.23611,2019-09-13,2019-10-29,46,0
Grandview,AR_Grassland_Grandview_22_03_2022,2022,33.8078,-93.7896,2022-09-02,2022-11-04,63,0.0158730158730159
Grandview,AR_Grassland_Grandview_22_04_2022,2022,33.8026,-93.7813,2022-09-02,2022-11-04,63,0.0317460317460317
