Camera_Trap_Array,Site_Name,Deployment_ID,Date_Out,Date_Retrieved,Survey_Days,Latitude,Longitude,Time_Zone,Development,detection_distance,Feature_Water,Feature_Road,Feature_Human_Trail,human_pics_removed,deployment_notes
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_07,d68865,2020-09-16,2020-10-22,36,33.80109,-93.78249,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_09,d68867,2020-09-17,2020-10-22,35,33.80326,-93.78263,CST,Wild,15,0,0,1,n,Tucked into shrub row looking on to a grassy firebreak separating grassland cell from shrub row
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_10,d68868,2020-09-16,2020-10-22,36,33.80233,-93.7742,CST,Wild,15,0,0,0,n, 
AR_Grassland_Grandview_Prairie_20,AR_Grassland_Grandview_Prairie_20_11,d68869,2020-09-16,2020-10-22,36,33.7994,-93.79256,CST,Wild,15,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_01,d68323,2020-09-10,2020-10-26,46,33.73354,-111.81382,MST,Suburban,15,0,0,0,n,"To avoid blanks from grass, the camera was rotated ~20 degrees 8 days after initial deployment."
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_02,d68324,2020-09-11,2020-10-26,45,33.6997,-111.79261,MST,Suburban,14,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_03,d68325,2020-09-10,2020-10-26,46,33.73341,-111.8083,MST,Suburban,13,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_04,d68326,2020-09-10,2020-10-26,46,33.72556,-111.81516,MST,Suburban,13,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_05,d68327,2020-09-10,2020-10-26,46,33.72388,-111.80848,MST,Suburban,21,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_06,d68328,2020-09-10,2020-10-26,46,33.71826,-111.81207,MST,Suburban,10,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_07,d68329,2020-09-11,2020-10-27,46,33.69793,-111.78978,MST,Suburban,5,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_08,d68330,2020-09-11,2020-10-27,46,33.69004,-111.80097,MST,Suburban,13,0,0,0,n,"Camera trappers didn't get a photo of themselves at set up, so kept first photo burst, despite no animals in the set. Notes from camera trappers on the data sheet say they set up on 9/11/2020 at 7:33am"
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_10,d68332,2020-09-10,2020-10-21,41,33.71574,-111.78957,MST,Suburban,10,0,0,0,n, 
AZ_Desert_McDowell_Sonoran_Preserve_20,AZ_Desert_McDowell_Sonoran_Preserve_20_11,d68333,2020-09-11,2020-10-27,46,33.6969,-111.80902,MST,Suburban,12.5,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec001_Mem037.20200831, ,2020-08-31,2020-09-06,6,48.09999,-112.68845,MST,Rural,12.7,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec002_Mem049.20200901, ,2020-09-01,2020-11-01,61,48.08463,-112.65726,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec004_Mem102.20200831, ,2020-08-31,2020-09-29,29,48.09406,-112.68894,MST,Rural,9.9,0,0,0,n,Near a vernal pool which flooded a good amount of the time.
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec006_Mem085.20200901, ,2020-09-01,2020-11-01,61,48.08917,-112.64357,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec010_Mem073.20200831, ,2020-08-31,2020-11-01,62,48.10738,-112.69267,MST,Rural,6.3,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec014_Mem020.20200831, ,2020-08-31,2020-10-31,61,48.07463,-112.72936,MST,Suburban,7.2,0,0,0,n,Under a walking bridge on campus
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec017_Mem098.20200831, ,2020-08-31,2020-11-01,62,48.11575,-112.6833,MST,Suburban,9.3,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec018_Mem030.20200831, ,2020-08-31,2020-10-31,61,48.09874,-112.71037,MST,Suburban,5.2,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec025_Mem076.20200831, ,2020-08-31,2020-10-31,61,48.06622,-112.73686,MST,Suburban,9,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec027_Mem110.20200831, ,2020-08-31,2020-11-01,62,48.1081,-112.70698,MST,Suburban,4.3,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec036_Mem069.20200831, ,2020-08-31,2020-11-01,62,48.11409,-112.69596,MST,Suburban,5.2,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec037_Mem087.20200901, ,2020-09-01,2020-11-01,61,48.08261,-112.63763,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec039_Mem094.20200831, ,2020-08-31,2020-10-31,61,48.08772,-112.73944,MST,Suburban,7.4,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec040_Mem100.20200831, ,2020-08-31,2020-11-01,62,48.12469,-112.66968,MST,Rural, ,0,0,0,n,Low battery light was on when picked up.
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec041_Mem099.20200831, ,2020-08-31,2020-10-31,61,48.09295,-112.70779,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec042_Mem088.20200901, ,2020-09-01,2020-11-01,61,48.07277,-112.63412,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec043_Mem081.20200901, ,2020-09-01,2020-11-01,61,48.09672,-112.66609,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec044_Mem065.20200831, ,2020-08-31,2020-10-31,61,48.08363,-112.73207,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec045_Mem064.20200831, ,2020-08-31,2020-11-01,62,48.12428,-112.68279,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec046_Mem107.20200901, ,2020-09-01,2020-11-01,61,48.08761,-112.67028,MST,Wild, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec048_Mem093.20200831, ,2020-08-31,2020-11-01,62,48.12314,-112.69136,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec049_Mem095.20200901, ,2020-09-01,2020-11-01,61,48.09966,-112.67345,MST,Wild, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec050_Mem060.20200831, ,2020-08-31,2020-10-31,61,48.07745,-112.7211,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec051_Mem036.20200831, ,2020-08-31,2020-10-31,61,48.08408,-112.72256,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec052_Mem038.20200901, ,2020-09-01,2020-11-01,61,48.08859,-112.677,MST,Wild, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec056_Mem033.20200901, ,2020-09-01,2020-11-01,61,48.10876,-112.6812,MST,Wild, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec058_Mem097.20200831, ,2020-08-31,2020-10-31,61,48.06424,-112.72783,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec060_Mem083.20200901, ,2020-09-01,2020-11-01,61,48.1164,-112.66098,MST,Wild, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec063_Mem079.20200831, ,2020-08-31,2020-10-31,61,48.05622,-112.72646,MST,Rural, ,0,0,0,n, 
MT_Roosevelt_Ranch_20,BAC.TRMR_Rec064_Mem061.20200831, ,2020-08-31,2020-10-31,61,48.05618,-112.73936,MST,Rural, ,0,0,0,n, 
UT_SLC_20,Blaine Preserve.USA.2020, ,2020-10-06,2020-11-05,30,40.73226,-111.84674,MST,Wild,9,1,0,0,n, 
RI_Forest_University_of_Rhode_Island_20,C06, ,2020-09-20,2020-11-14,55,41.4962147,-71.5265907,EST,Wild,10.45,0,0,0,n, 
RI_Forest_University_of_Rhode_Island_20,C07, ,2020-09-29,2020-11-14,46,41.4962147,-71.5265907,EST,Wild,5.44,0,0,0,n, 
RI_Forest_University_of_Rhode_Island_20,C12, ,2020-10-07,2020-11-03,27,41.49158,-71.52239,EST,Wild,10.72,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_01,d68363,2020-09-02,2020-10-13,41,38.6053,-122.724,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_02_reupload,d71495,2020-09-02,2020-10-13,41,38.6051,-122.7125,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_03,d68365,2020-09-02,2020-10-13,41,38.5966,-122.7352,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_04,d68366,2020-09-02,2020-10-13,41,38.5962,-122.7245,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_06,d68368,2020-09-02,2020-09-14,12,38.5962,-122.7129,PST,Wild,8,0,0,0,n,Camera was knocked down on 9/14/2020 on picture number 444. There is no white board at the end of the data set.
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_07,d68369,2020-09-02,2020-10-13,41,38.5961,-122.7013,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_08,d68370,2020-09-02,2020-10-14,42,38.58761,-122.72355,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_09,d68371,2020-09-03,2020-10-14,41,38.58715,-122.70147,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_10,d68372,2020-09-04,2020-10-15,41,38.56913,-122.72415,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_11,d68373,2020-09-03,2020-09-15,12,38.5871,-122.6896,PST,Wild,8,0,0,0,n,Camera was knocked down on September 15th and stopped taking pictures. No white board at end of dataset. Please contact me if you have any questions.
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_12,d68374,2020-09-03,2020-10-14,41,38.57803,-122.68996,PST,Wild,8,0,0,0,n, 
CA_Forest_Pepperwood_Preserve_20,CA_Forest_Pepperwood_Preserve_20_13,d68375,2020-09-04,2020-10-15,41,38.56841,-122.73609,PST,Wild,8,0,0,0,n, 
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_01,d68335,2020-09-02,2020-10-24,52,37.41507,-119.59993,PST,Rural,12,0,0,0,n,About 7 meters away from a footpath
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_02,d68336,2020-09-02,2020-10-24,52,37.41716,-119.59964,PST,Rural,15,0,0,0,n, 
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_03,d68337,2020-09-02,2020-10-24,52,37.41382,-119.59771,PST,Rural,12,0,0,0,n,Adjacent to a dirt road/access to vehicles
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_04,d68338,2020-09-02,2020-10-24,52,37.41171,-119.59614,PST,Rural,20,0,0,0,n, 
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_05,d68339,2020-09-02,2020-10-22,50,37.41618,-119.59627,PST,Rural,7,0,0,0,n,Camera ran out of batteries
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_06,d68340,2020-09-02,2020-10-24,52,37.41854,-119.59508,PST,Rural,14,0,0,0,n, 
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_07,d68341,2020-09-02,2020-10-24,52,37.42293,-119.59515,PST,Rural,11,0,0,0,n, 
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_08,d68342,2020-09-02,2020-10-24,52,37.41197,-119.59953,PST,Rural,12,0,0,0,n, 
CA_Forest_Sierra Nevada_20,CA_Forest_Sierra Nevada_20_09,d68343,2020-09-02,2020-10-24,52,37.41124,-119.59506,PST,Rural,12,0,0,0,n, 
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_01,d68346,2020-09-03,2020-09-23,20,35.38726,-120.01558,PST,Rural,14,0,0,0,n,Camera was shuffled around by elk and at the end destroyed by elk
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_02,d68347,2020-09-25,2020-10-29,34,35.33724,-120.05406,PST,Rural,20,0,0,0,n,Camera ran out of battery
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_03,d68348,2020-09-03,2020-09-15,12,35.35845,-119.99775,PST,Rural,12,0,0,0,n,Camera tilted by feral pigs or elk
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_04,d68349,2020-09-03,2020-10-30,57,35.38357,-119.98726,PST,Rural,20,0,0,0,n,Camera next to a fence where wildlife crosses
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_05,d68350,2020-09-03,2020-09-25,22,35.3933,-120.02442,PST,Rural,10,0,0,0,n,Camera knocked on the ground by elk
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_06,d68351,2020-09-03,2020-10-23,50,35.36669,-120.01926,PST,Rural,20,0,0,0,n, 
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_07,d68352,2020-09-03,2020-10-18,45,35.39286,-119.98782,PST,Rural,11,0,0,0,n,Camera toppled by elk
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_08,d68353,2020-09-03,2020-09-06,3,35.36948,-119.9763,PST,Rural,7,0,0,0,n,Battery failure
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_09,d68354,2020-09-03,2020-10-30,57,35.33703,-120.05846,PST,Rural,25,0,0,0,n, 
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_10,d68355,2020-09-03,2020-09-25,22,35.4005,-119.94736,PST,Rural,7,0,0,0,n,Elk knocked camera on ground
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_11,d68356,2020-09-24,2020-10-29,35,35.35992,-120.0056,PST,Rural,15,0,0,0,n,Camera next to a dirt access road and close to a main paved road
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_12,d68357,2020-09-25,2020-10-30,35,35.4033,-119.99237,PST,Rural,7,0,0,0,n,Camera knocked on the ground by elk/pigs
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_13,d68358,2020-09-25,2020-10-30,35,35.37875,-120.01302,PST,Rural,20,0,0,0,n,Camera knocked on the ground by elk
CA_Grassland_Carrizo_Plains_20,CA_Grassland_Carrizo Plains_20_14,d68359,2020-09-25,2020-10-04,9,35.36459,-119.99134,PST,Rural,12,0,0,0,n,Camera knocked on the ground by elk
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_01,d70353,2020-09-27,2020-10-23,26,37.0396,-121.33829,PST,Wild,,0,0,0,n,"Researcher not shown in first frame.
Mule deer = Black-tailed"
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_04,d70356,2020-09-27,2020-10-23,26,37.0516,-121.3782,PST,Wild,,0,0,0,n, 
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_05,d70357,2020-09-27,2020-10-23,26,37.0477,-121.3691,PST,Wild,,1,0,0,n,At Wood Duck Pond; pointing to edge of pond
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_06,d70358,2020-09-27,2020-10-23,26,37.0459,-121.3573,PST,Wild,,0,1,0,n,Camera trapper not shown in first images. Camera near jeep trail
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_07,d70359,2020-09-27,2020-10-23,26,37.0556,-121.3788,PST,Wild,,0,0,0,n,Above spur road
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_08,d70360,2020-09-27,2020-10-23,26,37.058,-121.3808,PST,Wild,,0,0,0,n,"Water source (spring) at right side of view
All squirrels probably fox squirrels; possibly Eastern grey
Age and sex information not entered for all sequences (taking too much time)"
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_09,d70361,2020-09-27,2020-10-23,26,37.0391,-121.3561,PST,Wild,,1,0,0,n,"Camera pointed at water trough, pointed a bit too high"
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_12,d70364,2020-10-08,2020-10-23,15,37.0431,-121.3455,PST,Wild,,0,0,0,n,Set for 1 photo per event
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_13,d70365,2020-09-27,2020-10-23,26,37.0358,-121.34,PST,Wild,,0,0,0,n, 
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_14,d70366,2020-09-27,2020-10-23,26,37.0466,-121.3831,PST,Wild,,0,0,0,n, 
CA_Oak_Woodland_Osos_20,CA_Oak_Woodland_Osos_20_15,d70367,2020-09-27,2020-10-23,26,37.0463,-121.3912,PST,Wild,,0,0,0,n,camera taking single photos instead of 3/event
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_01,d68394,2020-08-30,2020-10-21,52,38.97333,-104.87861,MST,Wild,15,0,0,0,n,At West Monumetn Creek near Fire Station. Attached to Ponerosa Pine.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_02,d68395,2020-08-30,2020-10-21,52,38.97363,-104.88047,MST,Wild,10,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_03,d68396,2020-08-31,2020-10-21,51,38.9734,-104.88262,MST,Wild,9,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_05,d68398,2020-08-30,2020-10-21,52,38.97598,-104.88602,MST,Wild,5,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_06,d68399,2020-08-30,2020-10-19,50,39.0064,-104.90447,MST,Wild,6,0,0,0,n,Pavilion Road near Eagle Peak Trail; Attached to Ponderosa Pine.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_07,d68400,2020-08-30,2020-10-19,50,39.01472,-104.90972,MST,Wild,8,0,0,0,n,In ravine near Cadet Pavilion. Attahed to Ponderosa Pine.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_08,d68401,2020-08-30,2020-10-19,50,39.00955,-104.9065,MST,Wild,6,0,0,0,n,At boundary with National Forest. Attached to Ponderosa Pine.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_10,d68403,2020-08-30,2020-10-19,50,39.00763,-104.8991,MST,Wild,14,0,0,0,n,Pavilion Rd above Transformer. Attached to Ponderosa Pine
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_11,d68404,2020-08-30,2020-10-21,52,38.98338,-104.85388,MST,Wild,10,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_12,d68405,2020-08-30,2020-10-21,52,38.98335,-104.85142,MST,Wild,18,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_13,d68406,2020-08-30,2020-10-22,53,38.9838,-104.84843,MST,Wild,12,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_14,d68407,2020-08-30,2020-10-21,52,38.9845,-104.84615,MST,Wild,14,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_15,d68408,2020-08-30,2020-10-19,50,39.00095,-104.90383,MST,Wild,15,0,0,0,n,Above evacuation tunnels. Attached to Ponderosa Pine.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_17,d68410,2020-08-30,2020-10-19,50,39.01517,-104.85232,MST,Wild,25,0,0,0,n,Near cemetary; attached to Ponderosa Pine
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_18,d68411,2020-08-30,2020-10-19,50,39.01088,-104.85245,MST,Wild,15,0,0,0,n,Near golf course. Attached to Pondersoa Pine.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_19,d68412,2020-09-24,2020-10-05,11,38.99826,-104.86871,MST,Wild,10,0,0,0,n,Near Falcon Club. Attached to Ponderosa Pine. Camera damaged by bear.
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_20,d68413,2020-08-30,2020-10-22,53,39.02988,-104.84945,MST,Wild,15,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_21,d68414,2020-08-30,2020-10-22,53,39.02872,-104.8545,MST,Wild,21,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_22,d68415,2020-08-30,2020-10-22,53,39.03328,-104.87277,MST,Wild,12,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_23,d68416,2020-08-30,2020-10-22,53,39.03133,-104.86812,MST,Wild,18,0,0,0,n, 
CO_GrasslandOak_USAFA_20,CO_GrasslandOak_USAFA_20_24,d68417,2020-08-30,2020-10-22,53,39.03565,-104.85213,MST,Wild,13,0,0,0,n, 
